snapshot_date,season,game_date,away_team,home_team,away_current_score,home_current_score,away_projected_points,home_projected_points,away_win_prob,home_win_prob,projected_spread_home,projected_total,source_file,source_url
2026-08-17,2026,2026-09-05,Morgan St,Arizona St,0.0,0.0,0.0,48.0,0.0,1.0,-48.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Fresno St,USC,0.0,0.0,14.0,37.0,0.08,0.92,-23.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Mercyhurst,New Mexico St,0.0,0.0,10.0,42.0,0.02,0.98,-31.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Northern Arizona,Arizona,0.0,0.0,7.0,41.0,0.02,0.98,-34.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Portland St,San Diego St,0.0,0.0,7.0,41.0,0.02,0.98,-34.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,MS Valley St,CS Sacramento,0.0,0.0,7.0,48.0,0.01,0.99,-41.5,56.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,UNLV,Hawaii,0.0,0.0,31.0,27.0,0.6,0.4,-3.5,58.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,C Michigan,New Mexico,0.0,0.0,21.0,28.0,0.28,0.72,-7.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,UCLA,California,0.0,0.0,27.0,28.0,0.5,0.5,-0.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,WKU,Nevada,0.0,0.0,28.0,24.0,0.6,0.4,-3.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-06,Notre Dame,Wisconsin,0.0,0.0,34.0,13.0,0.92,0.08,-20.5,47.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
