team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Baylor,B12,45,5.2,5.0244,3.8514,0.0017,0.0094,0.3708,"[{""wins"":0,""probability"":0.0003},{""wins"":1,""probability"":0.0045},{""wins"":2,""probability"":0.0302},{""wins"":3,""probability"":0.1074},{""wins"":4,""probability"":0.2157},{""wins"":5,""probability"":0.2711},{""wins"":6,""probability"":0.2247},{""wins"":7,""probability"":0.1042},{""wins"":8,""probability"":0.0363},{""wins"":9,""probability"":0.005},{""wins"":10,""probability"":0.0006}]"
Cincinnati,B12,57,3.0667,4.4785,2.8697,0.0002,0.0025,0.2272,"[{""wins"":0,""probability"":0.0007},{""wins"":1,""probability"":0.0119},{""wins"":2,""probability"":0.0662},{""wins"":3,""probability"":0.1613},{""wins"":4,""probability"":0.2752},{""wins"":5,""probability"":0.2575},{""wins"":6,""probability"":0.1504},{""wins"":7,""probability"":0.0579},{""wins"":8,""probability"":0.016},{""wins"":9,""probability"":0.0027},{""wins"":10,""probability"":0.0002}]"
Mississippi State,SEC,48,4.8,2.9848,1.5865,0.0,0.0001,0.0214,"[{""wins"":0,""probability"":0.0012},{""wins"":1,""probability"":0.0927},{""wins"":2,""probability"":0.2645},{""wins"":3,""probability"":0.3244},{""wins"":4,""probability"":0.2194},{""wins"":5,""probability"":0.0764},{""wins"":6,""probability"":0.0197},{""wins"":7,""probability"":0.0015},{""wins"":8,""probability"":0.0002}]"
Kentucky,SEC,41,6.0333,3.0525,1.6868,0.0,0.0,0.0319,"[{""wins"":0,""probability"":0.003},{""wins"":1,""probability"":0.0945},{""wins"":2,""probability"":0.2513},{""wins"":3,""probability"":0.3103},{""wins"":4,""probability"":0.2181},{""wins"":5,""probability"":0.0909},{""wins"":6,""probability"":0.0264},{""wins"":7,""probability"":0.0048},{""wins"":8,""probability"":0.0007}]"
Maryland,B1G,60,2.5667,4.3538,3.129,0.0,0.0002,0.2029,"[{""wins"":0,""probability"":0.0013},{""wins"":1,""probability"":0.0155},{""wins"":2,""probability"":0.0687},{""wins"":3,""probability"":0.1864},{""wins"":4,""probability"":0.2717},{""wins"":5,""probability"":0.2535},{""wins"":6,""probability"":0.1431},{""wins"":7,""probability"":0.0502},{""wins"":8,""probability"":0.009},{""wins"":9,""probability"":0.0006}]"
North Carolina,ACC,55,3.6,3.9502,2.7007,0.0002,0.0008,0.1235,"[{""wins"":0,""probability"":0.0015},{""wins"":1,""probability"":0.0218},{""wins"":2,""probability"":0.1123},{""wins"":3,""probability"":0.2465},{""wins"":4,""probability"":0.2889},{""wins"":5,""probability"":0.2055},{""wins"":6,""probability"":0.0899},{""wins"":7,""probability"":0.0276},{""wins"":8,""probability"":0.0054},{""wins"":9,""probability"":0.0006}]"
California,ACC,58,2.8667,4.671,3.6581,0.0002,0.0049,0.2931,"[{""wins"":0,""probability"":0.0012},{""wins"":1,""probability"":0.0123},{""wins"":2,""probability"":0.0592},{""wins"":3,""probability"":0.1498},{""wins"":4,""probability"":0.2379},{""wins"":5,""probability"":0.2465},{""wins"":6,""probability"":0.1793},{""wins"":7,""probability"":0.0838},{""wins"":8,""probability"":0.026},{""wins"":9,""probability"":0.0036},{""wins"":10,""probability"":0.0004}]"
Kansas,B12,52,3.9667,4.4623,3.243,0.0007,0.0055,0.2343,"[{""wins"":1,""probability"":0.0116},{""wins"":2,""probability"":0.0693},{""wins"":3,""probability"":0.1794},{""wins"":4,""probability"":0.2612},{""wins"":5,""probability"":0.2442},{""wins"":6,""probability"":0.1531},{""wins"":7,""probability"":0.0624},{""wins"":8,""probability"":0.0165},{""wins"":9,""probability"":0.0023}]"
Wake Forest,ACC,56,3.1333,4.8813,3.2561,0.0002,0.0034,0.3201,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0035},{""wins"":2,""probability"":0.0274},{""wins"":3,""probability"":0.1245},{""wins"":4,""probability"":0.2451},{""wins"":5,""probability"":0.2792},{""wins"":6,""probability"":0.2017},{""wins"":7,""probability"":0.0881},{""wins"":8,""probability"":0.0267},{""wins"":9,""probability"":0.0034},{""wins"":10,""probability"":0.0002}]"
UNLV,MW,63,1.2667,9.2332,6.3168,0.4511,0.6938,0.9965,"[{""wins"":3,""probability"":0.0001},{""wins"":4,""probability"":0.0001},{""wins"":5,""probability"":0.0033},{""wins"":6,""probability"":0.0241},{""wins"":7,""probability"":0.0741},{""wins"":8,""probability"":0.1813},{""wins"":9,""probability"":0.2772},{""wins"":10,""probability"":0.2661},{""wins"":11,""probability"":0.1379},{""wins"":12,""probability"":0.0358}]"
