hfa,games,mae,rmse,mean_error,median_error,within_1_point_pct,within_2_points_pct,distance_from_2_5,holdout_season,training_seasons
3.17,899,3.385884315906563,4.418809162661112,0.6344048943270302,0.47000000000000064,20.467185761957733,39.04338153503893,0.6699999999999999,2023,"2021,2022"
2.05,899,3.38670745272525,4.3999099368879415,-0.48559510567296993,-0.6499999999999986,19.13236929922136,39.15461624026697,0.4500000000000002,2023,"2021,2022"
3.18,899,3.386918798665184,4.420255933077217,0.6444048943270299,0.4800000000000004,20.467185761957733,39.04338153503893,0.6800000000000002,2023,"2021,2022"
2.04,899,3.387741935483871,4.401024807341888,-0.4955951056729703,-0.6600000000000001,19.13236929922136,39.15461624026697,0.45999999999999996,2023,"2021,2022"
3.19,899,3.3879532814238043,4.4217248457803064,0.65440489432703,0.4900000000000002,20.467185761957733,39.04338153503893,0.69,2023,"2021,2022"
2.03,899,3.3887764182424918,4.402162111616537,-0.50559510567297,-0.6699999999999999,19.13236929922136,39.15461624026697,0.4700000000000002,2023,"2021,2022"
3.2,899,3.388987764182425,4.4232158787105815,0.66440489432703,0.5,21.134593993325918,39.822024471635146,0.7000000000000002,2023,"2021,2022"
2.02,899,3.3898109010011126,4.403321832329047,-0.5155951056729702,-0.6799999999999997,19.13236929922136,39.15461624026697,0.48,2023,"2021,2022"
3.21,899,3.390133481646274,4.4247290095060015,0.6744048943270302,0.5100000000000016,20.467185761957733,39.265850945494996,0.71,2023,"2021,2022"
2.01,899,3.390845383759733,4.404503951772446,-0.5255951056729704,-0.6899999999999995,19.13236929922136,39.15461624026697,0.4900000000000002,2023,"2021,2022"
3.22,899,3.3912791991101225,4.426264215503916,0.68440489432703,0.5200000000000014,20.467185761957733,39.265850945494996,0.7200000000000002,2023,"2021,2022"
