season,team,overall,overall_rank,offense,offense_rank,defense,defense_rank,source
2024,Purdue,51,96,56,82,46,110,Bill Connelly/SP+ returning production 2024
2024,Ga. Southern,50,97,35,124,66,40,Bill Connelly/SP+ returning production 2024
2024,Tulane,50,98,47,104,53,83,Bill Connelly/SP+ returning production 2024
2024,USC,50,99,51,96,49,102,Bill Connelly/SP+ returning production 2024
2024,Kent St.,50,100,58,76,41,116,Bill Connelly/SP+ returning production 2024
2024,UCF,49,101,38,121,60,61,Bill Connelly/SP+ returning production 2024
2024,Kentucky,49,102,45,110,52,89,Bill Connelly/SP+ returning production 2024
2024,BGSU,48,103,52,95,45,112,Bill Connelly/SP+ returning production 2024
2024,Ball St.,48,104,64,54,33,127,Bill Connelly/SP+ returning production 2024
2024,NMSU,48,105,61,68,35,124,Bill Connelly/SP+ returning production 2024
2024,Army,47,106,58,77,37,121,Bill Connelly/SP+ returning production 2024
2024,EMU,46,107,45,109,47,108,Bill Connelly/SP+ returning production 2024
2024,SDSU,46,108,49,102,43,114,Bill Connelly/SP+ returning production 2024
2024,Arkansas,46,109,50,99,41,115,Bill Connelly/SP+ returning production 2024
2024,Maryland,45,110,40,117,51,100,Bill Connelly/SP+ returning production 2024
2024,UTSA,45,111,51,98,39,118,Bill Connelly/SP+ returning production 2024
2024,UTEP,45,112,42,116,48,107,Bill Connelly/SP+ returning production 2024
2024,MTSU,45,113,57,78,32,129,Bill Connelly/SP+ returning production 2024
2024,Coastal Caro.,45,114,44,112,46,111,Bill Connelly/SP+ returning production 2024
2024,Alabama,44,115,56,83,33,126,Bill Connelly/SP+ returning production 2024
2024,Tulsa,44,116,50,100,38,120,Bill Connelly/SP+ returning production 2024
2024,FAU,42,117,34,125,51,99,Bill Connelly/SP+ returning production 2024
2024,SJSU,42,118,32,127,52,91,Bill Connelly/SP+ returning production 2024
2024,Toledo,42,119,32,126,51,96,Bill Connelly/SP+ returning production 2024
2024,S. Alabama,41,120,39,119,44,113,Bill Connelly/SP+ returning production 2024
2024,La. Tech,41,121,46,105,35,125,Bill Connelly/SP+ returning production 2024
2024,Miss. St.,41,122,54,89,27,132,Bill Connelly/SP+ returning production 2024
2024,New Mexico,40,123,26,131,54,81,Bill Connelly/SP+ returning production 2024
2024,Oregon St.,40,124,54,86,26,133,Bill Connelly/SP+ returning production 2024
2024,UL-Monroe,40,125,39,120,41,117,Bill Connelly/SP+ returning production 2024
2024,JMU,39,126,40,118,38,119,Bill Connelly/SP+ returning production 2024
2024,N. Carolina,37,127,37,122,36,122,Bill Connelly/SP+ returning production 2024
2024,Michigan,36,128,24,132,47,109,Bill Connelly/SP+ returning production 2024
2024,Troy,36,129,42,114,29,130,Bill Connelly/SP+ returning production 2024
2024,Washington,36,130,19,134,52,92,Bill Connelly/SP+ returning production 2024
2024,Georgia St.,32,131,28,129,36,123,Bill Connelly/SP+ returning production 2024
2024,Buffalo,29,132,31,128,28,131,Bill Connelly/SP+ returning production 2024
2024,Ohio,27,133,22,133,33,128,Bill Connelly/SP+ returning production 2024
2024,Air Force,25,134,28,130,23,134,Bill Connelly/SP+ returning production 2024
2025,Clemson,81,1,86,1,75,7,Bill Connelly/SP+ returning production 2025
2025,Arizona St.,79,2,78,4,79,2,Bill Connelly/SP+ returning production 2025
2025,Illinois,76,3,78,5,75,8,Bill Connelly/SP+ returning production 2025
2025,Texas Tech,75,4,68,25,82,1,Bill Connelly/SP+ returning production 2025
2025,Kennesaw St.,73,5,69,24,78,3,Bill Connelly/SP+ returning production 2025
2025,Texas A&M,71,6,70,19,73,12,Bill Connelly/SP+ returning production 2025
2025,Rutgers,71,7,80,2,62,38,Bill Connelly/SP+ returning production 2025
2025,Vanderbilt,70,8,68,28,73,10,Bill Connelly/SP+ returning production 2025
2025,Boise St.,69,9,75,9,64,31,Bill Connelly/SP+ returning production 2025
2025,Oklahoma,69,10,78,6,60,46,Bill Connelly/SP+ returning production 2025
2025,Baylor,68,11,72,15,65,26,Bill Connelly/SP+ returning production 2025
2025,Cincinnati,68,12,65,42,71,16,Bill Connelly/SP+ returning production 2025
2025,Stanford,67,13,59,63,76,6,Bill Connelly/SP+ returning production 2025
2025,South Florida,67,14,66,38,68,17,Bill Connelly/SP+ returning production 2025
2025,Liberty,66,15,61,56,72,13,Bill Connelly/SP+ returning production 2025
2025,Arizona,66,16,70,20,62,33,Bill Connelly/SP+ returning production 2025
2025,Missouri St.,66,17,76,8,56,63,Bill Connelly/SP+ returning production 2025
2025,Florida,66,18,66,36,65,25,Bill Connelly/SP+ returning production 2025
2025,Troy,66,19,64,43,68,19,Bill Connelly/SP+ returning production 2025
2025,Delaware,65,20,54,77,76,4,Bill Connelly/SP+ returning production 2025
2025,New Mexico St.,65,21,69,22,61,42,Bill Connelly/SP+ returning production 2025
2025,Auburn,65,22,70,21,59,48,Bill Connelly/SP+ returning production 2025
2025,Houston,65,23,68,29,61,41,Bill Connelly/SP+ returning production 2025
2025,UL-Monroe,64,24,57,70,72,15,Bill Connelly/SP+ returning production 2025
2025,Wisconsin,64,25,67,34,62,39,Bill Connelly/SP+ returning production 2025
2025,Ga. Tech,64,26,64,45,65,27,Bill Connelly/SP+ returning production 2025
2025,Pittsburgh,64,27,67,31,61,43,Bill Connelly/SP+ returning production 2025
2025,Wyoming,64,28,79,3,48,92,Bill Connelly/SP+ returning production 2025
2025,Michigan,64,29,63,47,64,28,Bill Connelly/SP+ returning production 2025
2025,Michigan St.,63,30,72,17,55,64,Bill Connelly/SP+ returning production 2025
2025,UTSA,63,31,77,7,49,89,Bill Connelly/SP+ returning production 2025
2025,Boston College,63,32,62,53,64,29,Bill Connelly/SP+ returning production 2025
2025,Penn St.,63,33,72,14,53,73,Bill Connelly/SP+ returning production 2025
2025,Navy,63,34,73,12,52,78,Bill Connelly/SP+ returning production 2025
2025,Alabama,63,35,63,46,62,37,Bill Connelly/SP+ returning production 2025
2025,NC St.,62,36,71,18,53,72,Bill Connelly/SP+ returning production 2025
2025,Miss. St.,62,37,57,71,67,20,Bill Connelly/SP+ returning production 2025
2025,LSU,62,38,65,41,59,51,Bill Connelly/SP+ returning production 2025
2025,Oregon St.,62,39,57,69,66,24,Bill Connelly/SP+ returning production 2025
2025,Minnesota,62,40,50,83,73,11,Bill Connelly/SP+ returning production 2025
2025,Utah,61,41,72,16,51,81,Bill Connelly/SP+ returning production 2025
2025,Ga. Southern,61,42,66,37,56,62,Bill Connelly/SP+ returning production 2025
2025,UTEP,61,43,75,10,47,97,Bill Connelly/SP+ returning production 2025
2025,Indiana,61,44,61,55,60,45,Bill Connelly/SP+ returning production 2025
2025,BYU,61,45,69,23,53,75,Bill Connelly/SP+ returning production 2025
2025,Virginia,61,46,60,59,62,40,Bill Connelly/SP+ returning production 2025
2025,Florida St.,61,47,62,52,59,49,Bill Connelly/SP+ returning production 2025
2025,Toledo,60,48,75,11,46,100,Bill Connelly/SP+ returning production 2025
2025,TCU,60,49,64,44,57,56,Bill Connelly/SP+ returning production 2025
2025,Nebraska,60,50,68,30,53,74,Bill Connelly/SP+ returning production 2025
2025,Missouri,60,51,44,100,76,5,Bill Connelly/SP+ returning production 2025
2025,Kentucky,60,52,63,48,56,61,Bill Connelly/SP+ returning production 2025
2025,James Madison,59,53,67,32,51,80,Bill Connelly/SP+ returning production 2025
2025,Ohio,59,54,55,75,62,36,Bill Connelly/SP+ returning production 2025
2025,Iowa St.,58,55,58,66,59,50,Bill Connelly/SP+ returning production 2025
2025,Kansas St.,58,56,62,51,54,69,Bill Connelly/SP+ returning production 2025
2025,Northwestern,58,57,54,76,62,35,Bill Connelly/SP+ returning production 2025
2025,Tennessee,58,58,49,87,67,22,Bill Connelly/SP+ returning production 2025
2025,Duke,58,59,60,60,56,60,Bill Connelly/SP+ returning production 2025
2025,Louisville,58,60,58,64,57,54,Bill Connelly/SP+ returning production 2025
2025,Hawaii,58,61,58,67,58,53,Bill Connelly/SP+ returning production 2025
2025,Notre Dame,57,62,49,88,66,23,Bill Connelly/SP+ returning production 2025
2025,San Jose St.,57,63,57,68,57,55,Bill Connelly/SP+ returning production 2025
2025,Arkansas,57,64,65,39,49,88,Bill Connelly/SP+ returning production 2025
2025,Iowa,57,65,67,35,48,95,Bill Connelly/SP+ returning production 2025
2025,Old Dominion,57,66,46,93,68,18,Bill Connelly/SP+ returning production 2025
2025,Buffalo,57,67,41,105,73,9,Bill Connelly/SP+ returning production 2025
2025,S. Alabama,57,68,63,50,51,79,Bill Connelly/SP+ returning production 2025
2025,Middle Tenn.,56,69,58,65,55,67,Bill Connelly/SP+ returning production 2025
2025,Tulane,56,70,48,90,63,32,Bill Connelly/SP+ returning production 2025
2025,S. Carolina,56,71,65,40,46,99,Bill Connelly/SP+ returning production 2025
2025,Air Force,56,72,68,27,43,107,Bill Connelly/SP+ returning production 2025
2025,So. Miss,55,73,73,13,37,117,Bill Connelly/SP+ returning production 2025
2025,UConn,55,74,68,26,42,110,Bill Connelly/SP+ returning production 2025
2025,Miami,55,75,51,82,58,52,Bill Connelly/SP+ returning production 2025
2025,Kansas,54,76,61,54,47,96,Bill Connelly/SP+ returning production 2025
2025,Va. Tech,54,77,52,80,56,59,Bill Connelly/SP+ returning production 2025
2025,SMU,53,78,56,73,51,83,Bill Connelly/SP+ returning production 2025
2025,N. Texas,53,79,43,103,64,30,Bill Connelly/SP+ returning production 2025
2025,Cent. Mich.,53,80,46,94,60,47,Bill Connelly/SP+ returning production 2025
2025,N. Carolina,53,81,52,81,54,70,Bill Connelly/SP+ returning production 2025
2025,San Diego St.,52,82,33,123,72,14,Bill Connelly/SP+ returning production 2025
