game_id,week,date,away_team,home_team,away_rp_found,home_rp_found,spread_like_field_count,spread_like_fields,away_overall,away_offense,away_defense,home_overall,home_offense,home_defense,away_off_vs_def,away_def_vs_off,home_off_vs_def,home_def_vs_off,away_candidate_a_rp_only,home_candidate_a_rp_only,away_candidate_b_rp_only,home_candidate_b_rp_only
g58,1.0,2026-09-05,Toledo,Michigan State,True,True,14,"{""blend_spread_home"": 7.785, ""market_best_away_spread_home"": -12.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -10.5, ""market_best_home_spread_price"": -115.0, ""market_spread_hold_away_line"": 11.5, ""market_spread_hold_home_line"": -11.5, ""market_spread_hold_pct"": 1.87, ""market_spread_home"": -10.5, ""market_spread_open_home"": -10.5, ""market_spread_price"": -115.0, ""projected_margin_home"": 7.785, ""projection_spread_home"": 7.785, ""site_spread_home"": 7.785}",33.0,,,46.0,,,,,,,False,False,False,False
g59,1.0,2026-09-05,Murray State,Middle Tennessee,False,True,0,{},,,,,,,,,,,,,,
g60,1.0,2026-09-05,UL-Monroe,Mississippi State,True,True,12,"{""blend_spread_home"": 28.3225, ""market_best_away_spread_home"": -28.5, ""market_best_away_spread_price"": -108.0, ""market_best_home_spread_home"": -28.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_pct"": 4.3, ""market_spread_home"": -29.5, ""market_spread_open_home"": -28.5, ""market_spread_price"": -108.0, ""projected_margin_home"": 28.323, ""projection_spread_home"": 28.3225, ""site_spread_home"": 28.3225}",51.0,,,48.0,,,,,,,False,False,False,False
g61,1.0,2026-09-05,Towson,Navy,False,True,9,"{""market_best_away_spread_home"": -30.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -30.5, ""market_best_home_spread_price"": -115.0, ""market_spread_hold_away_line"": 30.5, ""market_spread_hold_home_line"": -30.5, ""market_spread_hold_pct"": 4.71, ""market_spread_home"": -30.5, ""market_spread_price"": -115.0}",,,,,,,,,,,,,,
g62,1.0,2026-09-05,Ohio,Nebraska,True,True,14,"{""blend_spread_home"": 17.5575, ""market_best_away_spread_home"": -23.5, ""market_best_away_spread_price"": -102.0, ""market_best_home_spread_home"": -23.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_away_line"": 23.5, ""market_spread_hold_home_line"": -23.5, ""market_spread_hold_pct"": 1.71, ""market_spread_home"": -23.5, ""market_spread_open_home"": -23.5, ""market_spread_price"": -105.0, ""projected_margin_home"": 17.558, ""projection_spread_home"": 17.5575, ""site_spread_home"": 17.5575}",33.0,,,69.0,,,,,,,False,False,False,False
g63,1.0,2026-09-05,Western Kentucky,Nevada,True,True,12,"{""blend_spread_home"": -5.43, ""market_best_away_spread_home"": 2.5, ""market_best_away_spread_price"": -124.0, ""market_best_home_spread_home"": 3.0, ""market_best_home_spread_price"": -109.0, ""market_spread_hold_pct"": 7.51, ""market_spread_home"": 2.5, ""market_spread_open_home"": 4.5, ""market_spread_price"": -124.0, ""projected_margin_home"": -5.43, ""projection_spread_home"": -5.43, ""site_spread_home"": -5.43}",32.0,,,48.0,,,,,,,False,False,False,False
g64,1.0,2026-09-05,Central Michigan,New Mexico,True,True,12,"{""blend_spread_home"": 11.1875, ""market_best_away_spread_home"": -12.5, ""market_best_away_spread_price"": -108.0, ""market_best_home_spread_home"": -12.5, ""market_best_home_spread_price"": -108.0, ""market_spread_hold_pct"": 3.85, ""market_spread_home"": -12.5, ""market_spread_open_home"": -12.5, ""market_spread_price"": -108.0, ""projected_margin_home"": 11.188, ""projection_spread_home"": 11.1875, ""site_spread_home"": 11.1875}",46.0,,,63.0,,,,,,,False,False,False,False
g65,1.0,2026-09-05,Mercyhurst,New Mexico State,False,True,6,"{""market_best_away_spread_home"": -26.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -26.5, ""market_best_home_spread_price"": -110.0, ""market_spread_home"": -26.5, ""market_spread_price"": -110.0}",,,,,,,,,,,,,,
g66,1.0,2026-09-05,Fordham,North Dakota State,False,True,9,"{""market_best_away_spread_home"": -37.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -37.5, ""market_best_home_spread_price"": -115.0, ""market_spread_hold_away_line"": 37.5, ""market_spread_hold_home_line"": -37.5, ""market_spread_hold_pct"": 4.71, ""market_spread_home"": -37.5, ""market_spread_price"": -115.0}",,,,,,,,,,,,,,
g67,1.0,2026-09-05,South Dakota State,Northwestern,False,True,0,{},,,,,,,,,,,,,,
g68,1.0,2026-09-05,Ball State,Ohio State,True,True,14,"{""blend_spread_home"": 55.85, ""market_best_away_spread_home"": -50.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -49.5, ""market_best_home_spread_price"": -112.0, ""market_spread_hold_away_line"": 50.0, ""market_spread_hold_home_line"": -50.0, ""market_spread_hold_pct"": 3.21, ""market_spread_home"": -49.5, ""market_spread_open_home"": -49.5, ""market_spread_price"": -112.0, ""projected_margin_home"": 55.85, ""projection_spread_home"": 55.85, ""site_spread_home"": 55.85}",36.0,,,60.0,,,,,,,False,False,False,False
g69,1.0,2026-09-05,UTEP,Oklahoma,True,True,14,"{""blend_spread_home"": 41.1825, ""market_best_away_spread_home"": -40.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -39.5, ""market_best_home_spread_price"": -115.0, ""market_spread_hold_away_line"": 40.0, ""market_spread_hold_home_line"": -40.0, ""market_spread_hold_pct"": 3.87, ""market_spread_home"": -39.5, ""market_spread_open_home"": -40.5, ""market_spread_price"": -115.0, ""projected_margin_home"": 41.182, ""projection_spread_home"": 41.1825, ""site_spread_home"": 41.1825}",35.0,,,65.0,,,,,,,False,False,False,False
g70,1.0,2026-09-05,Norfolk State,Old Dominion,False,True,0,{},,,,,,,,,,,,,,
g71,1.0,2026-09-05,Boise State,Oregon,True,True,14,"{""blend_spread_home"": 24.4675, ""market_best_away_spread_home"": -24.5, ""market_best_away_spread_price"": -109.0, ""market_best_home_spread_home"": -24.5, ""market_best_home_spread_price"": -108.0, ""market_spread_hold_away_line"": 24.5, ""market_spread_hold_home_line"": -24.5, ""market_spread_hold_pct"": 4.08, ""market_spread_home"": -24.5, ""market_spread_open_home"": -24.5, ""market_spread_price"": -108.0, ""projected_margin_home"": 24.468, ""projection_spread_home"": 24.4675, ""site_spread_home"": 24.4675}",57.0,,,66.0,,,,,,,False,False,False,False
g72,1.0,2026-09-05,Marshall,Penn State,True,True,14,"{""blend_spread_home"": 27.0225, ""market_best_away_spread_home"": -24.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -23.5, ""market_best_home_spread_price"": -115.0, ""market_spread_hold_away_line"": 24.0, ""market_spread_hold_home_line"": -24.0, ""market_spread_hold_pct"": 3.87, ""market_spread_home"": -23.5, ""market_spread_open_home"": -23.5, ""market_spread_price"": -115.0, ""projected_margin_home"": 27.023, ""projection_spread_home"": 27.0225, ""site_spread_home"": 27.0225}",48.0,,,52.0,,,,,,,False,False,False,False
g73,1.0,2026-09-05,Miami-OH,Pittsburgh,True,True,14,"{""blend_spread_home"": 17.395, ""market_best_away_spread_home"": -16.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -16.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_away_line"": 16.5, ""market_spread_hold_home_line"": -16.5, ""market_spread_hold_pct"": 2.44, ""market_spread_home"": -16.5, ""market_spread_open_home"": -16.5, ""market_spread_price"": -105.0, ""projected_margin_home"": 17.395, ""projection_spread_home"": 17.395, ""site_spread_home"": 17.395}",49.0,,,58.0,,,,,,,False,False,False,False
