away_classification,away_moneyline_change,away_team,canonical_cfbd_game_id,canonical_game_id,date,home_classification,home_moneyline_change,home_spread_change,home_team,moneyline_available,moneyline_comparison_book,moneyline_comparison_status,moneyline_source_timestamp,moneyline_stale,neutral_site,previous_away_moneyline,previous_home_moneyline,previous_home_spread,previous_total,season,spread_available,spread_comparison_book,spread_comparison_status,spread_source_timestamp,spread_stale,staged_away_moneyline,staged_away_moneyline_price,staged_away_spread,staged_away_spread_price,staged_home_moneyline,staged_home_moneyline_price,staged_home_spread,staged_home_spread_price,staged_over_price,staged_total,staged_under_price,total_available,total_change,total_comparison_book,total_comparison_status,total_source_timestamp,total_stale,week
FCS,,Eastern Kentucky,401868140,g49,2026-09-05,FBS,,,Jacksonville State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Murray State,401867866,g59,2026-09-05,FBS,,,Middle Tennessee,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Southeastern La.,401868316,g78,2026-09-05,FBS,,,South Alabama,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,HCU,401862697,g75,2026-09-05,FBS,,,Rice,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Arkansas State,401862695,g56,2026-09-05,FBS,,0.0,Memphis,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-10.5,,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,320,320,10.5,-110,-410,-410,-10.5,-110,,,,,,bovada,same_book_pair_unavailable,,,1
FCS,,Idaho State,401860880,g92,2026-09-05,FBS,,,Utah State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Missouri State,401856668,g86,2026-09-05,FBS,,-1.0,Texas A&M,,draftkings,same_book_pair_unavailable,,,False,,,-38.5,52.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,,,39.5,-110,,,-39.5,-110,-110,52.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Austin Peay,401856669,g93,2026-09-05,FBS,,,Vanderbilt,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Abilene Christian,401856770,g87,2026-09-05,FBS,,,Texas Tech,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Sam Houston,,g88,2026-09-05,FBS,,,Troy,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
