season,week,game_id,team,opponent,prior_games,prior_off_drives,prior_off_start_ytg_sum,prior_off_short_fields,prior_off_opportunities,prior_off_opportunity_points,prior_off_opportunity_tds,prior_off_points,prior_def_drives,prior_def_opponent_start_ytg_sum,prior_def_short_fields_allowed,prior_def_opportunities_allowed,prior_def_opportunity_points_allowed,prior_def_opportunity_tds_allowed,prior_def_points_allowed,pregame_off_avg_start_ytg,pregame_off_short_field_rate,pregame_off_opportunity_rate,pregame_off_points_per_opportunity,pregame_off_td_rate_per_opportunity,pregame_off_points_per_drive,pregame_def_opponent_avg_start_ytg,pregame_def_short_field_rate_allowed,pregame_def_opportunity_rate_allowed,pregame_def_points_per_opportunity_allowed,pregame_def_td_rate_per_opportunity_allowed,pregame_def_points_per_drive_allowed
2022,7,401415240,Hawai'i,Nevada,6,58.0,4186.0,7.0,20.0,64.0,7.0,64.0,46.0,3194.0,8.0,31.0,159.0,21.0,159.0,72.17241379310344,0.1206896551724138,0.3448275862068966,3.2,0.35,1.103448275862069,69.43478260869566,0.17391304347826086,0.6739130434782609,5.129032258064516,0.6774193548387096,3.4565217391304346
2022,8,401415242,Hawai'i,Colorado State,7,68.0,4817.0,11.0,28.0,95.0,11.0,95.0,56.0,3888.0,10.0,36.0,175.0,22.0,175.0,70.83823529411765,0.16176470588235295,0.4117647058823529,3.392857142857143,0.39285714285714285,1.3970588235294117,69.42857142857143,0.17857142857142858,0.6428571428571429,4.861111111111111,0.6111111111111112,3.125
2022,9,401415247,Hawai'i,Wyoming,8,77.0,5490.0,12.0,31.0,108.0,12.0,108.0,64.0,4465.0,12.0,42.0,192.0,24.0,192.0,71.2987012987013,0.15584415584415584,0.4025974025974026,3.4838709677419355,0.3870967741935484,1.4025974025974026,69.765625,0.1875,0.65625,4.571428571428571,0.5714285714285714,3.0
2022,10,401415253,Hawai'i,Fresno State,9,89.0,6316.0,14.0,37.0,128.0,14.0,128.0,76.0,5361.0,13.0,49.0,219.0,27.0,219.0,70.96629213483146,0.15730337078651685,0.4157303370786517,3.4594594594594597,0.3783783783783784,1.4382022471910112,70.53947368421052,0.17105263157894737,0.6447368421052632,4.469387755102041,0.5510204081632653,2.8815789473684212
2022,11,401415257,Hawai'i,Utah State,10,95.0,6806.0,14.0,39.0,128.0,14.0,128.0,80.0,5646.0,13.0,53.0,243.0,30.0,243.0,71.6421052631579,0.14736842105263157,0.4105263157894737,3.282051282051282,0.358974358974359,1.3473684210526315,70.575,0.1625,0.6625,4.584905660377358,0.5660377358490566,3.0375
2022,12,401415266,Hawai'i,UNLV,11,109.0,7850.0,14.0,47.0,162.0,18.0,162.0,95.0,6526.0,20.0,61.0,271.0,33.0,271.0,72.01834862385321,0.12844036697247707,0.43119266055045874,3.4468085106382977,0.3829787234042553,1.4862385321100917,68.69473684210526,0.21052631578947367,0.6421052631578947,4.442622950819672,0.5409836065573771,2.8526315789473684
2022,13,401415271,Hawai'i,San José State,12,122.0,8728.0,18.0,55.0,193.0,22.0,193.0,107.0,7426.0,21.0,67.0,290.0,34.0,290.0,71.54098360655738,0.14754098360655737,0.45081967213114754,3.5090909090909093,0.4,1.5819672131147542,69.40186915887851,0.19626168224299065,0.6261682242990654,4.3283582089552235,0.5074626865671642,2.710280373831776
2022,1,401426542,Houston,UTSA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2022,2,401404063,Houston,Texas Tech,1,11.0,774.0,3.0,4.0,17.0,2.0,17.0,11.0,783.0,2.0,6.0,26.0,3.0,26.0,70.36363636363636,0.2727272727272727,0.36363636363636365,4.25,0.5,1.5454545454545454,71.18181818181819,0.18181818181818182,0.5454545454545454,4.333333333333333,0.5,2.3636363636363638
2022,3,401404068,Houston,Kansas,2,25.0,1709.0,6.0,9.0,30.0,3.0,30.0,25.0,1820.0,5.0,14.0,46.0,5.0,46.0,68.36,0.24,0.36,3.3333333333333335,0.3333333333333333,1.2,72.8,0.2,0.56,3.2857142857142856,0.35714285714285715,1.84
