game_id,date,week,away_team,home_team,projected_margin_home,projected_total,win_prob_home,market_spread_home,market_total
g326,2026-09-26,4,Minnesota,Washington,11.0667,47.4,0.845869993407,,
g327,2026-09-26,4,Arizona,Washington State,-9.0667,48.7,0.19863032509,,
g328,2026-09-26,4,Oklahoma State,West Virginia,-0.4667,52.7,0.482057707407,,
g329,2026-09-26,4,Mercyhurst,Western Kentucky,,,,,
g330,2026-09-26,4,Boise State,Western Michigan,-9.8333,48.8,0.18052192804,,
g331,2026-09-26,4,Hawaii,Wyoming,-4.8,48.0,0.323340654507,,
g332,2026-10-01,5,Western Kentucky,New Mexico State,-7.6333,53.3,0.236068907959,,
g333,2026-10-01,5,North Texas,Tulsa,0.7,57.0,0.526897086734,,
g334,2026-10-02,5,Liberty,Delaware,-0.6667,57.6,0.474380149394,,
g335,2026-10-02,5,Penn State,Northwestern,-9.5667,48.5,0.186669176993,,
g336,2026-10-02,5,Pittsburgh,Virginia Tech,2.9333,53.3,0.610942790925,,
g337,2026-10-03,5,Navy,Air Force,-2.7666,53.9,0.395170144725,,
g338,2026-10-03,5,Cincinnati,Arizona,8.3333,53.7,0.782797875776,,
g339,2026-10-03,5,Baylor,Arizona State,3.6333,55.0,0.636214006642,,
g340,2026-10-03,5,Toledo,Ball State,-12.6333,46.8,0.125254577141,,
g341,2026-10-03,5,Utah State,Boise State,14.7,53.6,0.905641182706,,
g342,2026-10-03,5,Western Michigan,Buffalo,-3.7667,44.3,0.359049422023,,
g343,2026-10-03,5,Akron,Central Michigan,7.2,46.0,0.751698635985,,
g344,2026-10-03,5,Memphis,Charlotte,-20.2333,55.5,0.042581717242,,
g345,2026-10-03,5,Miami-FL,Clemson,-7.6,47.3,0.236994054494,,
g346,2026-10-03,5,Georgia Southern,Coastal Carolina,-1.1666,55.4,0.455250826362,,
g347,2026-10-03,5,Texas Tech,Colorado,-18.3667,51.8,0.055953937421,,
g348,2026-10-03,5,Oregon State,Colorado State,-0.3334,46.6,0.487179733691,,
g349,2026-10-03,5,Syracuse,Connecticut,-8.6333,50.6,0.209457262191,,
g350,2026-10-03,5,Texas Southern,Florida Atlantic,,,,,
g351,2026-10-03,5,Virginia,Florida State,2.5334,48.2,0.596223441365,,
g352,2026-10-03,5,Vanderbilt,Georgia,18.4333,54.5,0.944584840105,,
g353,2026-10-03,5,Old Dominion,Georgia State,-13.2667,51.9,0.114961814185,,
g354,2026-10-03,5,San Jose State,Hawaii,12.8,53.7,0.877528466215,,
g355,2026-10-03,5,Central Florida,Houston,7.7666,50.4,0.767609418748,,
