team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
San Diego State,DraftKings,7.5,154.0,-200.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
San Jose State,BetMGM,5.5,135.0,-175.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
San Jose State,Caesars,5.5,145.0,-190.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
San Jose State,DraftKings,6.5,240.0,-320.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Alabama,Caesars,5.5,-150.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Alabama Jaguars,DraftKings,5.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Carolina,Caesars,6.5,120.0,-155.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Carolina,DraftKings,6.5,110.0,-130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Carolina,FanDuel,6.5,116.0,-142.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Florida,Caesars,8.5,110.0,-140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
South Florida Bulls,DraftKings,8.5,115.0,-146.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Southern Miss,BetMGM,4.5,155.0,-200.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Southern Miss,Caesars,4.5,165.0,-220.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Southern Miss,DraftKings,3.5,-150.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Stanford,BetMGM,3.5,-125.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Stanford,Caesars,3.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Stanford,FanDuel,3.5,-120.0,-102.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Stanford Cardinal,DraftKings,3.5,-110.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Syracuse,BetMGM,4.5,-115.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Syracuse,Caesars,4.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Syracuse,DraftKings,4.5,105.0,-125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Syracuse,FanDuel,4.5,-102.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
TCU,BetMGM,6.5,-155.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
TCU,Caesars,6.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
TCU,FanDuel,6.5,-142.0,116.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
TCU Horned Frogs,DraftKings,6.5,-146.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Temple,BetMGM,5.5,100.0,-130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Temple,Caesars,4.5,-220.0,160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Temple,DraftKings,5.5,-110.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tennessee,BetMGM,7.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tennessee,Caesars,7.5,-120.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tennessee,DraftKings,7.5,105.0,-125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tennessee,FanDuel,7.5,-112.0,-108.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas,BetMGM,9.5,105.0,-135.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas,Caesars,9.5,100.0,-130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas,DraftKings,9.5,120.0,-142.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas,FanDuel,9.5,110.0,-134.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas A&M,BetMGM,8.5,-115.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas A&M,Caesars,8.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas A&M,DraftKings,8.5,100.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas A&M,FanDuel,8.5,-110.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas St,BetMGM,6.5,130.0,-165.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas State Bobcats,DraftKings,6.5,130.0,-166.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas Tech,BetMGM,10.5,-220.0,170.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas Tech,Caesars,11.5,150.0,-200.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas Tech,DraftKings,10.5,-190.0,154.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Texas Tech,FanDuel,10.5,-220.0,176.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Toledo,BetMGM,7.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Toledo,Caesars,7.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Toledo Rockets,DraftKings,7.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Troy,BetMGM,6.5,-155.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Troy,Caesars,6.5,-170.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Troy,DraftKings,6.5,-140.0,110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tulane,BetMGM,7.5,120.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tulane,Caesars,7.5,130.0,-170.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tulane,DraftKings,7.5,120.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tulsa,BetMGM,5.5,-105.0,-125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tulsa,Caesars,4.5,-220.0,160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Tulsa Golden Hurricane,DraftKings,5.5,-105.0,-125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UAB,BetMGM,3.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UAB,Caesars,3.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UAB Blazers,DraftKings,3.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UCF,DraftKings,5.5,-130.0,110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UCLA,BetMGM,6.5,100.0,-125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UCLA,Caesars,5.5,-220.0,160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UCLA,FanDuel,6.5,118.0,-144.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UCLA Bruins,DraftKings,6.5,110.0,-132.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UConn,BetMGM,5.5,-118.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UConn Huskies,DraftKings,5.5,-146.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UL-Monroe Warhawks,DraftKings,3.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UMass,Caesars,2.5,-170.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UMass Minutemen,DraftKings,2.5,-146.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UNC,BetMGM,4.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UNLV,BetMGM,7.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UNLV,Caesars,7.5,-180.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UNLV,DraftKings,7.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
USC,BetMGM,8.5,105.0,-125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
USC,Caesars,8.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
USC,DraftKings,8.5,115.0,-136.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
USC,FanDuel,8.5,112.0,-138.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UTEP,BetMGM,3.5,110.0,-140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UTEP,Caesars,3.5,115.0,-145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UTEP,DraftKings,3.5,110.0,-140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UTSA,BetMGM,7.5,-125.0,-105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UTSA,Caesars,7.5,-150.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
UTSA,DraftKings,7.5,-125.0,-105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Utah,BetMGM,8.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Utah,Caesars,8.5,-150.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Utah,FanDuel,8.5,-132.0,108.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Utah State,BetMGM,4.5,-160.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Utah State,DraftKings,5.5,144.0,-190.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Utah Utes,DraftKings,8.5,-150.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Vanderbilt,BetMGM,5.5,-155.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Vanderbilt,Caesars,5.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Vanderbilt,FanDuel,5.5,-140.0,114.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Vanderbilt Commodores,DraftKings,5.5,-148.0,124.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia,BetMGM,7.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia,Caesars,7.5,-170.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia,DraftKings,7.5,-150.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia,FanDuel,7.5,-168.0,136.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
