game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_fpi_spread,has_fpi_total,has_massey_spread,has_massey_total,has_sp_spread,has_sp_total,has_sagarin_predictor_spread,has_sagarin_predictor_total,has_sagarin_rating_spread,has_sagarin_rating_total,has_teamrankings_spread,has_teamrankings_total
g200,Miami-OH,Cincinnati,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g201,North Carolina,Clemson,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g202,BYU,Colorado State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g203,Coastal Carolina,Delaware,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g204,Stanford,Duke,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g205,Florida International,Florida Atlantic,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g206,Mercer,Georgia Tech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g207,Southern Illinois,Illinois,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g208,Western Kentucky,Indiana,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g209,Northern Iowa,Iowa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g210,Bowling Green,Iowa State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g211,Georgia Southern,Jacksonville State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g212,Arizona State,Kansas,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g213,Tulane,Kansas State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g214,Ball State,Liberty,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g215,UAB,Louisiana,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g216,SMU,Louisville,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g217,Virginia Tech,Maryland,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g218,Stonehill,Massachusetts,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g219,UT Martin,Memphis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g220,UTEP,Michigan,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g221,Nevada,Middle Tennessee,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g222,Akron,Minnesota,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g223,Troy,Missouri,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g224,Marshall,Missouri State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g225,North Dakota,Nebraska,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g226,Colorado,Northwestern,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g227,Michigan State,Notre Dame,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g228,Kent State,Ohio State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g229,New Mexico,Oklahoma,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g230,Murray State,Oklahoma State,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g231,East Carolina,Old Dominion,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g232,LSU,Ole Miss,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g233,Portland State,Oregon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g234,Montana,Oregon State,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g235,Buffalo,Penn State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g236,Western Michigan,Rice,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g237,USC,Rutgers,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g238,North Dakota State,Sacramento State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g239,Nicholls,Sam Houston,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g240,James Madison,San Diego State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g241,Fresno State,San Jose State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g242,Ohio,South Alabama,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g243,Mississippi State,South Carolina,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g244,Delaware State,South Florida,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g245,Connecticut,Southern Miss,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g246,Arkansas State,TCU,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g247,Kennesaw State,Tennessee,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g248,UTSA,Texas,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g249,Kentucky,Texas A&M,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g250,North Texas,Texas State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g251,Temple,Toledo,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g252,East Texas A&M,Tulsa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g253,Purdue,UCLA,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g254,Southeastern La.,UL-Monroe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g255,Utah State,Utah,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g256,NC State,Vanderbilt,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g257,Eastern Washington,Washington,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g258,Duquesne,Washington State,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g259,Virginia,West Virginia,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g260,Eastern Michigan,Wisconsin,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g261,Liberty,Coastal Carolina,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g262,Clemson,California,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g263,Navy,UAB,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g264,UNLV,Akron,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g265,South Carolina,Alabama,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g266,Tulsa,Arkansas,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g267,Kennesaw State,Arkansas State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g268,Vanderbilt,Auburn,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g269,Colorado,Baylor,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g270,Virginia Tech,Boston College,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g271,South Florida,Bowling Green,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g272,Robert Morris,Buffalo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g273,TCU,Central Florida,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g274,Louisiana,Charlotte,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g275,Kansas State,Cincinnati,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g276,William & Mary,Duke,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g277,NC Central,East Carolina,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g278,Lindenwood,Eastern Michigan,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g279,Ole Miss,Florida,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
