game_id,week,date,away_team,home_team,neutral_site,site_spread_home,site_spread_text,site_total,blend_spread_home,blend_spread_text,blend_total,spread_sources_used,total_sources_used,spread_weight_detail,total_weight_detail,source_count_spread,source_count_total,dratings_spread_home,dratings_spread_text,dratings_total,spread_disagreement_dratings,total_disagreement_dratings,spread_weight_dratings,total_weight_dratings,massey_spread_home,massey_spread_text,massey_total,spread_disagreement_massey,total_disagreement_massey,spread_weight_massey,total_weight_massey,sagarin_homeaway_spread_home,sagarin_homeaway_spread_text,sagarin_homeaway_total,spread_disagreement_sagarin_homeaway,total_disagreement_sagarin_homeaway,spread_weight_sagarin_homeaway,total_weight_sagarin_homeaway,sagarin_predictor_spread_home,sagarin_predictor_spread_text,sagarin_predictor_total,spread_disagreement_sagarin_predictor,total_disagreement_sagarin_predictor,spread_weight_sagarin_predictor,total_weight_sagarin_predictor,spread_disagreement,total_disagreement
g65,1,2026-09-05,Mercyhurst,New Mexico State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g66,1,2026-09-05,Fordham,North Dakota State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g67,1,2026-09-05,South Dakota State,Northwestern,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g68,1,2026-09-05,Ball State,Ohio State,False,60.0,Ohio State -60.0,49.2,60.0,Ohio State -60.0,49.2,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g69,1,2026-09-05,UTEP,Oklahoma,False,41.0,Oklahoma -41.0,47.9,41.0,Oklahoma -41.0,47.9,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g70,1,2026-09-05,Norfolk State,Old Dominion,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g71,1,2026-09-05,Boise State,Oregon,False,24.0,Oregon -24.0,53.0,24.0,Oregon -24.0,53.0,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g72,1,2026-09-05,Marshall,Penn State,False,25.5,Penn State -25.5,58.0,25.5,Penn State -25.5,58.0,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g73,1,2026-09-05,Miami-OH,Pittsburgh,False,11.3,Pittsburgh -11.3,48.2,11.3,Pittsburgh -11.3,48.2,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g74,1,2026-09-05,Indiana State,Purdue,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g75,1,2026-09-05,HCU,Rice,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g76,1,2026-09-05,MVSU,Sacramento State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g77,1,2026-09-05,Portland State,San Diego State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g78,1,2026-09-05,Southeastern La.,South Alabama,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g79,1,2026-09-05,Kent State,South Carolina,False,34.5,South Carolina -34.5,49.9,34.5,South Carolina -34.5,49.9,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g80,1,2026-09-05,Florida International,South Florida,False,13.5,South Florida -13.5,57.0,13.5,South Florida -13.5,57.0,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g81,1,2026-09-05,Alcorn State,Southern Miss,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g82,1,2026-09-05,New Hampshire,Syracuse,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g83,1,2026-09-05,Rhode Island,Temple,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g84,1,2026-09-05,Furman,Tennessee,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g85,1,2026-09-05,Texas State,Texas,False,32.6,Texas -32.6,60.8,32.6,Texas -32.6,60.8,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g86,1,2026-09-05,Missouri State,Texas A&M,False,41.5,Texas A&M -41.5,52.8,41.5,Texas A&M -41.5,52.8,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g87,1,2026-09-05,Abilene Christian,Texas Tech,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g88,1,2026-09-05,Sam Houston,Troy,False,22.0,Troy -22.0,53.8,22.0,Troy -22.0,53.8,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
