market,season,completed_week,target_week,n,mean_abs,median_abs,p25_abs,p75_abs,p90_abs,signed_mean
total,2024,4,5,134,0.2894258827025821,0.22360484682627296,0.0718892936901665,0.409042851626301,0.6614776660055778,1.0273705601008911e-16
total,2024,5,6,134,0.2731659002507624,0.21305323376796848,0.07386905204868618,0.39602850428084024,0.5753464170099057,-1.5634260055728883e-15
total,2024,6,7,134,0.21789536555549158,0.15079308638487726,0.05808979020820576,0.3049374082757542,0.5158229316522451,2.0638548912994516e-15
total,2024,7,8,134,0.29071918132263597,0.23738502801068107,0.1400139855481983,0.4089097896217221,0.6056501522922152,-2.1574781762118714e-15
total,2024,8,9,134,0.3395131301204486,0.29800578308788533,0.17570027990990622,0.4502794835958813,0.6656762315128296,3.5079733479573976e-15
total,2024,9,10,134,0.2923054593597617,0.2318877695647844,0.08782491321285651,0.459042356873698,0.5859524800774601,-1.8691515996674278e-15
total,2024,10,11,134,0.29158286117451526,0.24390861311212808,0.11440089038465925,0.41164516551219094,0.5805221523245562,-1.3521522210360115e-15
total,2024,11,12,134,0.2709666183994762,0.2309105493764294,0.10318830626409153,0.39446204351050873,0.5869222184702242,1.3040977916119377e-15
total,2024,12,13,134,0.27784950178092466,0.23429484998560918,0.09746531651854094,0.38283784078189287,0.647956245038799,1.6669915862282201e-15
total,2024,13,14,134,0.2991708522954483,0.2411390425936245,0.11136526260227506,0.43386364142888817,0.6638196322474001,4.8385839282171e-16
total,2024,14,15,134,0.3032271587138626,0.2584383045103273,0.1445015874662634,0.44369008094553775,0.5560139468210824,-1.0389699051342882e-15
total,2024,15,16,134,0.2415475844724616,0.1730699686998748,0.06967479111137326,0.35202271043914624,0.5475533623077073,-9.478321941575964e-16
total,2025,2,3,136,0.2862177127689638,0.21555699243531717,0.04522607553386203,0.4721352566591983,0.6260760508416987,4.930696374070548e-16
total,2025,3,4,136,0.2111158305146708,0.1358927917085785,0.033450655117742756,0.3260168270123176,0.5217235347583771,-1.0318543405339691e-15
total,2025,4,5,136,0.21010643076746355,0.12437771306283751,0.044859768929709457,0.3564526380465515,0.4740427708235584,4.244970388272657e-17
total,2025,5,6,136,0.21633084249675597,0.15842363491153874,0.07403073139381883,0.342380062336351,0.47170583437532265,-1.3028793730159924e-15
total,2025,6,7,136,0.2052945457497499,0.11709230705647011,0.04824106835819447,0.3232541974352832,0.525087788355458,5.649075978239767e-16
total,2025,7,8,136,0.28608035245304947,0.24254373067386148,0.08479169274144913,0.44055482321476086,0.5895843792849106,1.260429669133266e-15
total,2025,8,9,136,0.3107123500548122,0.27903459180170864,0.16172428423523938,0.39851517440523054,0.6006535054366404,5.355193412897814e-16
total,2025,9,10,136,0.2414390262773707,0.2173822798690701,0.07921739395270072,0.3474026183665836,0.502272199323349,9.828739129769769e-16
total,2025,10,11,136,0.2589092285876165,0.20518972802848834,0.08646049245604032,0.3858726210094672,0.536327847058362,-6.947057308500061e-16
total,2025,11,12,136,0.2733368353493651,0.21607797749353252,0.10522786343714133,0.39913431560520984,0.5433226159285015,-1.6326809185664067e-17
total,2025,12,13,136,0.28221479684374934,0.2347735888328082,0.10341489793094372,0.42181819318080715,0.6194165507276523,-1.10859034370659e-15
total,2025,13,14,136,0.2625296171126506,0.20918947269846855,0.07514109716457265,0.42071936716420116,0.5437638918136993,-3.624551639217423e-16
total,2025,14,15,136,0.288402737235183,0.26297976803646733,0.10619590994779521,0.4400897496045916,0.5802514098794738,1.959217102279688e-17
total,2025,15,16,136,0.1971323903253268,0.16735754701390598,0.06611653105968235,0.27061197559530215,0.40508957269097845,1.9298288457454927e-15
