model,market,season,stage,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
no_adjustment,spread,2024,Weeks 10-12,150,150,89,0.550561797752809,0.3402777777777778,0.052083333333333336,0.0,6.9110159204644015,5.266793010568363,0.20231247002125352,0.48314606741573035,0.033707865168539325,0.449438202247191,0.04,0.0,13.956488587162227
no_adjustment,spread,2024,Weeks 13+,138,138,81,0.5555555555555556,0.35714285714285715,0.07936507936507936,0.0,5.996014818255019,4.865532018983596,0.35035806607944336,0.4691358024691358,0.037037037037037035,0.4444444444444444,0.08695652173913043,0.0,14.3300839806814
no_adjustment,spread,2024,Weeks 4-6,154,152,102,0.5882352941176471,0.4195804195804196,0.3321678321678322,0.0,8.106010184346864,6.683960202859444,1.3563487574295463,0.45098039215686275,0.09803921568627451,0.4117647058823529,0.05844155844155844,0.0,14.766048654862793
no_adjustment,spread,2024,Weeks 7-9,167,167,106,0.5,0.33544303797468356,-0.08544303797468354,0.0,6.474340326817439,5.170612734130479,0.009096928498953024,0.41509433962264153,0.03773584905660377,0.5,0.05389221556886228,0.0,12.808685642511028
no_adjustment,spread,2025,Weeks 1-3,97,96,69,0.42028985507246375,0.3118279569892473,-0.21505376344086022,0.0,13.864533594124119,12.9,5.619622603784949,0.34782608695652173,0.028985507246376812,0.5797101449275363,0.030927835051546393,0.0,18.146146762315386
no_adjustment,spread,2025,Weeks 10-12,161,160,112,0.5178571428571429,0.38926174496644295,0.4966442953020134,0.0,6.476220125481703,5.337512028292435,0.6489017044451827,0.38392857142857145,0.09821428571428571,0.48214285714285715,0.06832298136645963,0.0,13.686729609960596
no_adjustment,spread,2025,Weeks 13+,137,136,100,0.47,0.36153846153846153,0.2153846153846154,0.0,7.112834045860187,5.276589965604945,0.2529007925815909,0.36,0.07,0.53,0.043795620437956206,0.0,15.280505260205551
no_adjustment,spread,2025,Weeks 4-6,151,149,105,0.5619047619047619,0.41843971631205673,0.1702127659574468,0.0,8.74403810889866,6.479547102613759,2.4124661296891783,0.5047619047619047,0.0380952380952381,0.4380952380952381,0.052980132450331126,0.0,14.370622649218634
no_adjustment,spread,2025,Weeks 7-9,168,167,123,0.6260162601626016,0.48427672955974843,0.5345911949685535,0.0,6.425956822408712,5.4863368857323715,0.12309599865197729,0.4959349593495935,0.07317073170731707,0.37398373983739835,0.047619047619047616,0.0,13.560299665550685
no_adjustment,total,2021,Weeks 1-3,97,0,0,,,,,5.016866680717687,4.456391985974761,1.275566095119666,,,,0.0,0.0,14.041369939834881
no_adjustment,total,2021,Weeks 10-12,181,0,0,,,,,4.412873413818656,3.4822940381160663,0.08182931505039188,,,,0.0,0.0,13.532932642457729
no_adjustment,total,2021,Weeks 13+,77,0,0,,,,,4.6758741650806375,4.072187281443611,0.17607561129595695,,,,0.0,0.0,10.298367274815455
no_adjustment,total,2021,Weeks 4-6,170,0,0,,,,,5.294177090168382,4.895993928442316,0.0359669336278128,,,,0.0,0.0,13.235268864039956
no_adjustment,total,2021,Weeks 7-9,157,1,1,0.0,0.0,-3.0,-3.0,5.071600138384063,4.259894494756992,0.59798989576726,0.0,0.0,1.0,0.0,0.0,12.815028247784245
no_adjustment,total,2022,Weeks 1-3,97,0,0,,,,,5.784401429438012,5.734463928626369,0.18808036278096493,,,,0.0,0.0,12.614907265992535
no_adjustment,total,2022,Weeks 10-12,185,2,2,0.5,0.5,-0.5,-0.5,5.675257255924218,5.435229646875854,1.0506921345740583,0.5,0.0,0.5,0.0,0.0,13.846350470380003
no_adjustment,total,2022,Weeks 13+,75,0,0,,,,,4.889295498509907,3.8203197400144973,0.35838686214240684,,,,0.0,0.0,12.618783083045564
no_adjustment,total,2022,Weeks 4-6,174,1,1,1.0,1.0,2.0,2.0,5.287852436616288,4.5591102168056885,0.5750075577794741,1.0,0.0,0.0,0.0,0.0,12.66728906793194
no_adjustment,total,2022,Weeks 7-9,150,5,5,0.6,0.6,0.9,1.0,5.522655752447261,5.3268358757172365,0.672954324501276,0.6,0.0,0.4,0.0,0.0,14.515745793591062
no_adjustment,total,2023,Weeks 1-3,101,38,7,0.42857142857142855,0.08108108108108109,-0.06756756756756757,0.0,5.765646408112548,5.028123107241036,0.8965557284818242,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.009900990099009901,0.0,13.1918658880704
no_adjustment,total,2023,Weeks 10-12,190,7,1,1.0,0.14285714285714285,0.35714285714285715,0.0,5.144841537486402,4.488891762766112,0.4838580030674999,1.0,0.0,0.0,0.0,0.0,13.210505676757757
no_adjustment,total,2023,Weeks 13+,76,6,1,0.0,0.0,-0.08333333333333333,0.0,4.561365400645857,4.022195330436357,0.6312447287448134,0.0,0.0,1.0,0.0,0.0,14.786905210537165
