team,team_normalized,historical_conference,current_2026_conference,development_home_games,raw_team_hfa,conference_hfa,shrunk_team_hfa,current_site_hfa,difference_recommended_vs_current,difference_recommended_vs_2_5,holdout_2025_home_games,holdout_current_site_mae,holdout_conference_team_mae,confidence
Arkansas,arkansas,SEC,SEC,12,3.833333333333334,2.736456348395011,3.2239572305898214,2.4,0.8239572305898215,0.7239572305898214,4,3.1999999999999993,2.7880213847050888,Medium
Boston College,boston college,ACC,ACC,12,1.8666666666666665,2.6733097014925375,2.314801686014373,1.9,0.41480168601437306,-0.18519831398562703,5,4.96,4.8770396627971255,Medium
Duke,duke,ACC,ACC,12,0.2250000000000004,2.6733097014925375,1.5851720563847433,3.2,-1.6148279436152568,-0.9148279436152567,4,1.3749999999999998,2.5398279436152564,Medium
Florida State,florida state,ACC,ACC,12,5.558333333333334,2.6733097014925375,3.9555424267551134,1.9,2.0555424267551134,1.4555424267551134,2,4.8500000000000005,2.794457573244888,Medium
Missouri,missouri,SEC,SEC,12,2.5083333333333337,2.736456348395011,2.6350683417009324,2.5,0.1350683417009324,0.1350683417009324,5,4.339999999999999,4.367013668340185,Medium
NC State,nc state,ACC,ACC,12,3.0583333333333336,2.6733097014925375,2.844431315644002,3.1,-0.2555686843559979,0.3444313156440022,2,0.9000000000000001,1.155568684355998,Medium
San José State,san jose st,Mountain West,MW,12,5.3935,2.7033417328939717,3.8989676293855404,2.5,1.3989676293855404,1.3989676293855404,3,4.7666666666666675,3.367699037281127,Medium
Tulsa,tulsa,American Athletic,American,12,2.7083333333333335,2.37729004745856,2.5244203967362373,0.7,1.8244203967362373,0.024420396736237304,5,3.1599999999999993,2.8946522380417425,Medium
UConn,uconn,FBS Independents,Independent,12,5.968499999999999,2.5529123509966944,4.070951306109275,1.9,2.170951306109275,1.5709513061092748,5,4.979999999999999,7.150951306109275,Medium
Vanderbilt,vanderbilt,SEC,SEC,12,3.3185000000000002,2.736456348395011,2.9951424157750064,0.9,2.0951424157750065,0.4951424157750064,6,2.1833333333333345,2.88171413859167,Medium
Georgia,georgia,SEC,SEC,11,3.8363636363636364,2.736456348395011,3.20180173945866,1.8,1.4018017394586602,0.7018017394586602,4,3.8249999999999997,3.1240991302706695,Medium
Massachusetts,umass,FBS Independents,MAC,11,1.4999999999999993,2.5529123509966944,2.1074494332673237,1.6,0.5074494332673236,-0.3925505667326763,1,5.299999999999997,4.792550566732675,Medium
Rice,rice,Conference USA,American,11,6.013090909090909,2.31889552238806,3.881824339839265,2.9,0.9818243398392652,1.3818243398392651,4,3.4250000000000007,3.425,Medium
SMU,smu,American Athletic,ACC,11,2.454545454545454,2.37729004745856,2.4099750273799385,3.4,-0.9900249726200614,-0.09002497262006148,4,4.499999999999999,4.25,Medium
Arkansas State,arkansas st,Sun Belt,Sun Belt,10,4.17,2.4417531905688947,3.133051914341337,2.9,0.23305191434133699,0.6330519143413369,3,0.4666666666666675,0.4110173047804449,Medium
Army,army,FBS Independents,American,10,2.2099999999999995,2.5529123509966944,2.4157474105980166,1.8,0.6157474105980165,-0.08425258940198344,3,3.133333333333335,3.33858247019934,Medium
Charlotte,charlotte,Conference USA,American,10,4.0922,2.31889552238806,3.0282173134328354,1.7,1.3282173134328354,0.5282173134328354,3,2.0333333333333337,0.9905942288557221,Medium
Clemson,clemson,ACC,ACC,10,1.6300000000000008,2.6733097014925375,2.255985820895523,2.5,-0.24401417910447698,-0.24401417910447698,4,3.575,3.819014179104477,Medium
Coastal Carolina,coastal carolina,Sun Belt,Sun Belt,10,-1.9400000000000002,2.4417531905688947,0.6890519143413367,2.3,-1.610948085658663,-1.8109480856586633,3,8.066666666666665,8.60364936188622,Medium
Georgia State,georgia state,Sun Belt,Sun Belt,10,2.3100000000000005,2.4417531905688947,2.389051914341337,1.7,0.6890519143413372,-0.11094808565866288,3,7.233333333333335,6.544281418991997,Medium
Liberty,liberty,FBS Independents,CUSA,10,-0.5899999999999995,2.5529123509966944,1.295747410598017,3.5,-2.204252589401983,-1.204252589401983,4,2.8500000000000005,4.404252589401983,Medium
Pittsburgh,pittsburgh,ACC,ACC,10,3.9799999999999995,2.6733097014925375,3.195985820895522,1.9,1.2959858208955222,0.6959858208955221,4,3.9250000000000003,5.220985820895523,Medium
Texas A&M,texas a and m,SEC,SEC,10,-0.97,2.736456348395011,1.2538738090370067,2.5,-1.2461261909629933,-1.2461261909629933,3,2.1000000000000014,2.515375396987666,Medium
UTSA,utsa,American Athletic,American,10,1.8422000000000005,2.37729004745856,2.1632540284751363,2.0,0.16325402847513626,-0.33674597152486374,5,1.06,0.9620475829149185,Medium
Louisiana,louisiana,Sun Belt,Sun Belt,9,1.2222222222222223,2.4417531905688947,1.9844290774388924,2.7,-0.7155709225611078,-0.5155709225611076,2,2.2500000000000004,2.2500000000000004,Medium
UTEP,utep,Conference USA,MW,9,3.8913333333333338,2.31889552238806,2.9085597014925377,2.5,0.40855970149253773,0.40855970149253773,2,6.5,6.199999999999999,Medium
Marshall,marshall,Sun Belt,Sun Belt,8,3.9125,2.4417531905688947,2.953317298197105,1.3,1.653317298197105,0.453317298197105,2,2.85,4.503317298197104,Medium
UAB,uab,Conference USA,American,8,2.9000000000000004,2.31889552238806,2.521018818948735,3.8,-1.278981181051265,0.021018818948734808,3,4.166666666666667,3.7403396063162444,Medium
Virginia,virginia,ACC,ACC,8,3.99025,2.6733097014925375,3.131375892277742,3.3,-0.16862410772225767,0.6313758922777422,4,9.2,9.200000000000001,Medium
App State,app state,Sun Belt,Sun Belt,7,4.146,2.4417531905688947,2.9840135390242466,1.8,1.1840135390242466,0.4840135390242466,4,1.65,1.65,Low
New Mexico State,new mexico st,FBS Independents,CUSA,7,-2.1,2.5529123509966944,1.072440239315928,3.0,-1.927559760684072,-1.427559760684072,4,12.775,10.847440239315926,Low
Akron,akron,Mid-American,MAC,6,1.4499999999999995,2.344403122004656,2.088859372860468,0.7,1.3888593728604681,-0.4111406271395319,1,3.299999999999997,4.688859372860467,Low
Ball State,ball state,Mid-American,MAC,6,5.383333333333333,2.344403122004656,3.2126688966699923,1.5,1.7126688966699923,0.7126688966699923,2,2.3000000000000007,2.1999999999999993,Low
Buffalo,buffalo,Mid-American,MAC,6,1.3500000000000003,2.344403122004656,2.06028794428904,2.8,-0.7397120557109598,-0.43971205571095995,3,3.5333333333333337,3.286762648096347,Low
Florida International,florida international,Conference USA,CUSA,6,-1.483333333333334,2.31889552238806,1.2325444207533758,1.8,-0.5674555792466243,-1.2674555792466242,3,2.566666666666667,3.1341222459132907,Low
