path,market,relevant_columns,max_populated_rows,rows,games
/Users/jameslindesmith/NCAAF_AUTO/data/research/rp_1h_rule_by_market_role_2024_2025.csv,first_half,avg_1h_ats_margin | median_1h_ats_margin | avg_1h_spread | full_game_ats_win_pct_in_1h_sample,5,5,
/Users/jameslindesmith/NCAAF_AUTO/data/research/shadow_value_confidence/spread_market_value_rows.csv,spread,fpi_home_spread | teamrankings_home_spread | archive_updated_home_spread | opening_home_spread | home_closing_spread | home_repeatable_spread_performance | away_closing_spread | away_repeatable_spread_performance | predicted_updated_sp_spread | predicted_market_spread | actual_result_spread | diff_closing_spread | diff_repeatable_spread_performance,960,960,960.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/shadow_value_confidence/total_market_value_rows.csv,spread,market_fair_spread | sp_plus_fair_spread | no_update_market_spread | current_lambda_050_spread | aligned_fair_spread | current_model_spread | spread_impact | spread_confidence_color,831,831,831.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/shadow_value_confidence/total_market_value_rows.csv,total,frozen_market_baseline_total | existing_total_projection | raw_prior_total_residual | repeatable_total_adjustment | opening_total_timing_unknown | actual_close_total | actual_total | timing_limitation_flag_total | pure_sp_plus_total | pace_sp_plus_total | selected_sp_component_total | selected_blended_shadow_total | total_confidence | raw_total_projection | raw_pbp_total_projection | no_future_market_feature_total | final_shadow_total | current_model_total | total_impact,831,831,831.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/sp_plus_market_movement/market_line_audit.csv,spread,closing_spread,2580,2580,2579.0
/Users/jameslindesmith/NCAAF_AUTO/data/signals/returning_production_validated_matches_2026_with_market_role.csv,spread,market_spread_home | signal_team_spread | spread_bucket,27,27,20.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/dry_run/projected_close/projected_closing_lines.json,spread,frozen_preopener_spread_baseline | frozen_spread_reproduced_from_ratings | away_raw_spread_impact | home_raw_spread_impact | away_spread_impact | home_spread_impact | applied_spread_delta | projected_spread_close | actual_opening_spread | actual_spread_close | projected_spread_move | actual_spread_move | predicted_spread_movement_direction | actual_spread_movement_direction | spread_direction_agreement | spread_signal_class | spread_projected_close_error | spread_opener_clv | projected_spread_label | opening_spread_label | closing_spread_label | spread_actual_result_error | spread_update_eligible | provenance.frozen_spread_baseline | provenance.spread_rating_snapshot | provenance.spread_update | provenance.spread_source_game_ids | look_ahead_checks.frozen_spread_through_week,67,67,67.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/dry_run/projected_close/projected_closing_lines.json,total,frozen_preopener_total_baseline | total_intercept | combined_total_adjustment_raw | applied_total_adjustment | projected_total_close | actual_opening_total | actual_total_close | projected_total_move | actual_total_move | predicted_total_movement_direction | actual_total_movement_direction | total_direction_agreement | total_signal_class | total_projected_close_error | total_opener_clv | actual_total_result | total_actual_result_error | total_update_eligible | provenance.frozen_total_baseline_formula | provenance.total_update | provenance.total_source_game_ids | look_ahead_checks.frozen_total_training_week_lt,67,67,67.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/dry_run/saturday_shadow_lines.json,spread,historical_market_baseline_spread | market_baseline_spread_field | away_spread_impact | home_spread_impact | away_raw_postgame_spread_impact | home_raw_postgame_spread_impact | applied_spread_delta | shadow_spread | opening_spread | later_market_spread | closing_spread | spread_status | team_update_eligibility.away_spread | team_update_eligibility.home_spread | provenance.spread_impacts,67,67,67.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/dry_run/saturday_shadow_lines.json,total,historical_market_baseline_total | market_baseline_total_field | away_total_impact | home_total_impact | raw_total_impact | applied_total_delta | shadow_total | opening_total | later_market_total | closing_total | actual_total | total_status | team_update_eligibility.total | provenance.total_impact | provenance.total_source_game_ids | provenance.total_sources_match_completed_week | provenance.total_team_attribution,67,67,67.0
