season_year,starts_at,away_team,home_team,away_tz,home_tz,tz_delta,tz_abs,travel_direction,travel_bucket,away_game_spread,traveler_role,away_final_margin,traveler_ats_margin,traveler_ats_result,game_total,final_total_points,game_total_margin,game_total_result_calc,away_1h_spread,traveler_1h_ats_margin,traveler_1h_ats_result,one_h_total,one_h_total_points,one_h_total_margin,one_h_total_result_calc
2024,2024-09-14T19:30:00.000Z,Tulane,Oklahoma,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,15.5,Underdog,-15,0.5,W,56.5,53,-3.5,U,6.5,-8.5,L,23.5,27,3.5,O
2024,2024-09-14T19:30:00.000Z,West Virginia,Pittsburgh,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,3.5,Underdog,-4,-0.5,L,64.5,72,7.5,O,-0.5,-0.5,L,30.5,34,3.5,O
2024,2024-09-14T20:00:00.000Z,Troy,Iowa,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,18.5,Underdog,-17,1.5,W,62.5,59,-3.5,U,13.5,17.5,W,20.5,24,3.5,O
2024,2024-09-14T20:15:00.000Z,UAB,Arkansas,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,7.5,Underdog,-10,-2.5,L,63.5,64,0.5,O,13.5,13.5,W,32.5,40,7.5,O
2024,2024-09-14T20:30:00.000Z,Utah,Utah State,-7.0,-7.0,0.0,0.0,Same/no major,0 TZ,-16.5,Favorite,17,0.5,W,60.5,59,-1.5,U,-10.5,-7.5,L,23.0,31,8.0,O
2024,2024-09-14T22:00:00.000Z,UConn,Duke,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,6.5,Underdog,-5,1.5,W,47.5,47,-0.5,U,9.5,-0.5,L,23.5,24,0.5,O
2024,2024-09-14T22:00:00.000Z,Virginia Tech,Old Dominion,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-20.5,Favorite,20,-0.5,L,49.5,54,4.5,O,-8.5,-4.5,L,24.5,24,-0.5,U
2024,2024-09-14T22:30:00.000Z,Bethune-Cookman,Western Michigan,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,21.5,Underdog,-28,-6.5,L,54.0,90,36.0,O,20.5,-0.5,L,29.5,49,19.5,O
2024,2024-09-14T22:30:00.000Z,Ole Miss,Wake Forest,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,-33.5,Favorite,34,0.5,W,47.0,46,-1.0,U,-12.5,4.5,W,34.5,29,-5.5,U
2024,2024-09-14T23:00:00.000Z,South Florida,Southern Miss,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,-27.5,Favorite,25,-2.5,L,79.5,73,-6.5,U,-6.5,0.5,W,29.5,49,19.5,O
2024,2024-09-14T23:00:00.000Z,UTSA,Texas,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,41.5,Underdog,-49,-7.5,L,58.5,63,4.5,O,21.5,0.5,W,30.5,35,4.5,O
2024,2024-09-14T23:30:00.000Z,Air Force,Baylor,-7.0,-6.0,1.0,1.0,Eastbound,1 TZ,28.5,Underdog,-28,0.5,W,41.5,34,-7.5,U,9.5,6.5,W,21.5,9,-12.5,U
2024,2024-09-14T23:30:00.000Z,Colorado,Colorado State,-7.0,-7.0,0.0,0.0,Same/no major,0 TZ,-20.5,Favorite,19,-1.5,L,43.5,37,-6.5,U,-4.5,6.5,W,30.0,17,-13.0,U
2024,2024-09-14T23:30:00.000Z,Georgia ,Kentucky,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-1.5,Favorite,1,-0.5,L,44.5,25,-19.5,U,-11.5,-14.5,L,23.5,9,-14.5,U
2024,2024-09-14T23:30:00.000Z,Indiana,UCLA,-5.0,-8.0,-3.0,3.0,Westbound,3+ TZ,-28.5,Favorite,29,0.5,W,56.0,55,-1.0,U,-2.5,11.5,W,23.5,28,4.5,O
2024,2024-09-14T23:30:00.000Z,New Mexico,Auburn,-7.0,-6.0,1.0,1.0,Eastbound,1 TZ,26.5,Underdog,-26,0.5,W,65.5,64,-1.5,U,16.5,12.5,W,31.5,30,-1.5,U
2024,2024-09-14T23:30:00.000Z,UCF,TCU,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,1.5,Underdog,1,2.5,W,65.5,69,3.5,O,0.5,-13.5,L,31.0,28,-3.0,U
2024,2024-09-15T00:00:00.000Z,Maryland,Virginia,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-14.5,Favorite,14,-0.5,L,42.5,40,-2.5,U,0.5,-5.5,L,28.0,20,-8.0,U
2024,2024-09-15T00:00:00.000Z,Rice,Houston,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,32.5,Underdog,-26,6.5,W,35.5,40,4.5,O,2.5,-17.5,L,21.5,20,-1.5,U
2024,2024-09-15T01:00:00.000Z,BYU,Wyoming,-7.0,-7.0,0.0,0.0,Same/no major,0 TZ,-20.5,Favorite,20,-0.5,L,49.5,48,-1.5,U,-5.5,4.5,W,20.5,24,3.5,O
2024,2024-09-20T23:30:00.000Z,Stanford,Syracuse,-8.0,-5.0,3.0,3.0,Eastbound,3+ TZ,-1.5,Favorite,2,0.5,W,47.5,50,2.5,O,5.5,8.5,W,28.5,23,-5.5,U
2024,2024-09-21T00:00:00.000Z,Illinois,Nebraska,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,-5.5,Favorite,7,1.5,W,55.5,55,-0.5,U,4.5,-2.5,L,21.5,27,5.5,O
2024,2024-09-21T16:00:00.000Z,Charlotte,Indiana,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,37.5,Underdog,-38,-0.5,L,67.5,66,-1.5,U,17.5,0.5,W,27.5,45,17.5,O
2024,2024-09-21T16:00:00.000Z,Houston,Cincinnati,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,34.5,Underdog,-34,0.5,W,37.5,34,-3.5,U,2.5,-21.5,L,23.5,24,0.5,O
2024,2024-09-21T16:00:00.000Z,James Madison,North Carolina,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-19.5,Favorite,20,0.5,W,48.5,120,71.5,O,6.5,38.5,W,24.5,74,49.5,O
2024,2024-09-21T16:00:00.000Z,Kansas,West Virginia,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,4.0,Underdog,-4,0.0,P,51.5,60,8.5,O,0.5,-6.5,L,27.5,21,-6.5,U
2024,2024-09-21T16:00:00.000Z,Marshall,Ohio State,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,35.5,Underdog,-35,0.5,W,64.5,63,-1.5,U,24.5,10.5,W,30.5,42,11.5,O
2024,2024-09-21T16:00:00.000Z,NC State,Clemson,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,30.5,Underdog,-24,6.5,W,87.5,94,6.5,O,10.5,-27.5,L,23.5,52,28.5,O
2024,2024-09-21T16:00:00.000Z,Rice,Army,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,23.5,Underdog,-23,0.5,W,52.5,51,-1.5,U,4.0,-24.0,L,21.5,28,6.5,O
2024,2024-09-21T16:00:00.000Z,Tulane,Louisiana,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,-7.5,Favorite,8,0.5,W,79.5,74,-5.5,U,-0.5,3.5,W,26.5,30,3.5,O
2024,2024-09-21T16:45:00.000Z,Ohio,Kentucky,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,34.5,Underdog,-35,-0.5,L,46.5,47,0.5,O,10.5,-6.5,L,22.5,17,-5.5,U
2024,2024-09-21T17:00:00.000Z,Ball State,Central Michigan,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,3.5,Underdog,-3,0.5,W,57.5,71,13.5,O,3.5,-2.5,L,25.5,40,14.5,O
2024,2024-09-21T18:00:00.000Z,Utah State,Temple,-7.0,-5.0,2.0,2.0,Eastbound,2 TZ,15.5,Underdog,-16,-0.5,L,75.5,74,-1.5,U,-3.5,0.5,W,27.5,38,10.5,O
2024,2024-09-21T18:00:00.000Z,Virginia,Coastal Carolina,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-19.5,Favorite,19,-0.5,L,71.0,67,-4.0,U,-2.5,14.5,W,26.5,37,10.5,O
2024,2024-09-21T19:30:00.000Z,Arkansas,Auburn,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,-4.5,Favorite,10,5.5,W,38.5,38,-0.5,U,0.5,7.5,W,27.5,7,-20.5,U
2024,2024-09-21T19:30:00.000Z,Buffalo,Northern Illinois,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,13.0,Underdog,3,16.0,W,43.0,43,0.0,P,7.5,-3.5,L,22.5,17,-5.5,U
