season,week,game_id,home_team,away_team,fpi_target,tr_target,actual_close,actual_result_spread,timing_unknown_opener,home_completed_week,away_completed_week,home_current_snapshot_week,away_current_snapshot_week,home_target_sp_plus_week,away_target_sp_plus_week,cutoff_valid,game_identity_valid
2025,8,401752874,Northwestern,Purdue,-4.96,-7.6,-3.5,-19,-3.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752871,Notre Dame,USC,-5.07,-8.9,-10.5,-10,-8.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752876,Rutgers,Oregon,11.6,16.0,18.5,46,14.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752744,South Carolina,Oklahoma,1.02,5.5,4.5,19,4.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401754568,Syracuse,Pittsburgh,2.97,6.1,8.5,17,10.5,6.0,7.0,5.0,6.0,6.0,7.0,True,True
2025,8,401756927,TCU,Baylor,-3.41,-4.6,-3.5,-6,-3.5,7.0,6.0,6.0,5.0,7.0,6.0,True,True
2025,8,401762488,Tulane,Army,-11.24,-11.8,-10.5,-7,-10.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401762487,UAB,Memphis,25.66,23.8,23.5,-7,21.0,7.0,6.0,6.0,5.0,7.0,6.0,True,True
2025,8,401752879,UCLA,Maryland,-0.03,0.7,-4.5,-3,-2.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752745,Vanderbilt,LSU,-2.54,0.5,-1.5,-7,-1.5,6.0,7.0,5.0,6.0,6.0,7.0,True,True
2025,9,401752746,Arkansas,Auburn,-0.08,2.0,-2.5,9,-1.0,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401762844,Buffalo,Akron,-8.8,-15.1,-10.5,8,-10.5,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401762492,Charlotte,North Texas,23.4,28.4,25.5,34,27.0,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401756930,Cincinnati,Baylor,-4.58,-7.2,-3.5,-21,-5.0,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752885,Indiana,UCLA,-26.37,-29.3,-27.5,-50,-24.0,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752882,Iowa,Minnesota,-8.79,-11.4,-7.5,-38,-8.0,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752747,Kentucky,Tennessee,7.26,8.7,7.5,22,8.5,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752748,LSU,Texas A&M,0.51,-0.3,1.5,24,1.5,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752883,Nebraska,Northwestern,-7.2,-12.6,-7.5,-7,-8.5,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401754573,North Carolina,Virginia,11.74,13.7,12.5,1,9.0,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752886,Oregon,Wisconsin,-29.33,-30.5,-31.5,-14,-34.5,8.0,8.0,7.0,7.0,8.0,8.0,True,True
2025,9,401752884,Purdue,Rutgers,1.02,4.1,-2.5,3,1.5,8.0,8.0,7.0,7.0,8.0,8.0,True,True
