snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-07-17,2026,Wyoming,,DraftKings,5.5,-110,-120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Wyoming Cowboys
2026-07-17,2026,Fresno State,,DraftKings,7.5,190,-260,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Fresno State Bulldogs
2026-07-17,2026,Kent State Golden Flashes,,DraftKings,3.5,-105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Kent State Golden Flashes
2026-07-17,2026,Tulsa Golden Hurricane,,DraftKings,5.5,-105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Tulsa Golden Hurricane
2026-07-17,2026,Colorado State,,DraftKings,4.5,160,-200,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Colorado State Rams
2026-07-17,2026,Oregon State Beavers,,DraftKings,4.5,154,-200,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Oregon State Beavers
2026-07-17,2026,TCU Horned Frogs,,DraftKings,6.5,-146,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=TCU Horned Frogs
2026-07-17,2026,Ohio Bobcats,,DraftKings,6.5,-130,100,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Ohio Bobcats
2026-07-17,2026,James Madison Dukes,,DraftKings,8.5,-130,100,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=James Madison Dukes
2026-07-17,2026,Kansas State Wildcats,,DraftKings,8.5,115,-136,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Kansas State Wildcats
