game_id,season,week,start_date,away_team,home_team,opening_total,closing_total,actual_total,normalized_away,normalized_home
401520249,2023,3,2023-09-16T16:00:00.000Z,Georgia Southern,Wisconsin,,65.5,49.0,georgia southern,wisconsin
401525500,2023,3,2023-09-16T16:00:00.000Z,Florida State,Boston College,,48.0,60.0,florida state,boston college
401525504,2023,3,2023-09-16T16:00:00.000Z,Wake Forest,Old Dominion,,60.0,51.0,wake forest,old dominion
401525838,2023,3,2023-09-16T16:00:00.000Z,Iowa State,Ohio,,42.0,17.0,iowa state,ohio
401526834,2023,3,2023-09-16T18:00:00.000Z,Massachusetts,Eastern Michigan,,50.0,36.0,umass,eastern michigan
401525437,2023,3,2023-09-16T18:30:00.000Z,Central Michigan,Notre Dame,,51.5,58.0,central michigan,notre dame
401520223,2023,3,2023-09-16T19:30:00.000Z,Northwestern,Duke,,48.0,52.0,northwestern,duke
401520225,2023,3,2023-09-16T19:30:00.000Z,South Carolina,Georgia,,54.5,38.0,south carolina,georgia
401520227,2023,3,2023-09-16T19:30:00.000Z,Western Michigan,Iowa,,43.5,51.0,western michigan,iowa
401520239,2023,3,2023-09-16T19:30:00.000Z,Minnesota,North Carolina,,51.0,44.0,minnesota,north carolina
401520243,2023,3,2023-09-16T19:30:00.000Z,Virginia Tech,Rutgers,39.5,37.5,51.0,virginia tech,rutgers
401520244,2023,3,2023-09-16T19:30:00.000Z,Alabama,South Florida,,61.0,20.0,alabama,south florida
401520246,2023,3,2023-09-16T19:30:00.000Z,Florida International,UConn,,43.0,41.0,florida international,uconn
401524009,2023,3,2023-09-16T19:30:00.000Z,San Diego State,Oregon State,,48.5,35.0,san diego state,oregon state
401525842,2023,3,2023-09-16T19:30:00.000Z,Oklahoma,Tulsa,,58.5,83.0,oklahoma,tulsa
401531412,2023,3,2023-09-16T19:30:00.000Z,East Carolina,App State,,48.5,71.0,east carolina,appalachian state
401520240,2023,3,2023-09-16T20:00:00.000Z,Western Kentucky,Ohio State,,65.0,73.0,western kentucky,ohio state
401520245,2023,3,2023-09-16T20:00:00.000Z,UL Monroe,Texas A&M,,53.5,50.0,louisiana monroe,texas a and m
401531348,2023,3,2023-09-16T20:00:00.000Z,Tulane,Southern Miss,,47.5,24.0,tulane,southern miss
401520233,2023,3,2023-09-16T21:00:00.000Z,Washington,Michigan State,,57.0,48.0,washington,michigan state
401531403,2023,3,2023-09-16T22:00:00.000Z,Georgia State,Charlotte,,52.0,66.0,georgia state,charlotte
401520224,2023,3,2023-09-16T23:00:00.000Z,Tennessee,Florida,,57.0,45.0,tennessee,florida
401520229,2023,3,2023-09-16T23:00:00.000Z,North Texas,Louisiana Tech,,66.5,77.0,north texas,louisiana tech
401520237,2023,3,2023-09-16T23:00:00.000Z,Northern Illinois,Nebraska,,42.5,46.0,northern illinois,nebraska
401520247,2023,3,2023-09-16T23:00:00.000Z,Vanderbilt,UNLV,,56.5,77.0,vanderbilt,unlv
401525835,2023,3,2023-09-16T23:00:00.000Z,Miami (OH),Cincinnati,,44.5,55.0,miami ohio,cincinnati
401525839,2023,3,2023-09-16T23:00:00.000Z,South Alabama,Oklahoma State,,49.5,40.0,south alabama,oklahoma state
401531379,2023,3,2023-09-16T23:00:00.000Z,Louisiana,UAB,,60.0,62.0,louisiana,uab
401531848,2023,3,2023-09-16T23:00:00.000Z,James Madison,Troy,,46.5,30.0,james madison,troy
401532403,2023,3,2023-09-16T23:00:00.000Z,San José State,Toledo,,56.5,38.0,san jose state,toledo
401520220,2023,3,2023-09-16T23:30:00.000Z,BYU,Arkansas,,48.0,69.0,byu,arkansas
401520228,2023,3,2023-09-16T23:30:00.000Z,Akron,Kentucky,,48.5,38.0,akron,kentucky
401520232,2023,3,2023-09-16T23:30:00.000Z,Bowling Green,Michigan,,53.5,37.0,bowling green,michigan
401520241,2023,3,2023-09-16T23:30:00.000Z,Georgia Tech,Ole Miss,,61.5,71.0,georgia tech,mississippi
401520242,2023,3,2023-09-16T23:30:00.000Z,Syracuse,Purdue,,56.5,55.0,syracuse,purdue
401525503,2023,3,2023-09-16T23:30:00.000Z,Pittsburgh,West Virginia,,48.0,23.0,pittsburgh,west virginia
401520238,2023,3,2023-09-17T00:00:00.000Z,New Mexico State,New Mexico,,52.0,44.0,new mexico state,new mexico
401524008,2023,3,2023-09-17T00:00:00.000Z,Hawai'i,Oregon,,67.5,65.0,hawaii,oregon
401525501,2023,3,2023-09-17T00:00:00.000Z,Florida Atlantic,Clemson,,51.5,62.0,florida atlantic,clemson
401525836,2023,3,2023-09-17T00:00:00.000Z,TCU,Houston,,64.0,49.0,tcu,houston
401525840,2023,3,2023-09-17T00:00:00.000Z,Wyoming,Texas,,48.5,41.0,wyoming,texas
401524007,2023,3,2023-09-17T02:00:00.000Z,Colorado State,Colorado,,63.0,78.0,colorado state,colorado
401524005,2023,3,2023-09-17T02:30:00.000Z,Fresno State,Arizona State,,48.0,29.0,fresno state,arizona state
401525837,2023,3,2023-09-17T02:30:00.000Z,Kansas,Nevada,,58.0,55.0,kansas,nevada
401520219,2023,3,2023-09-17T03:00:00.000Z,UTEP,Arizona,,57.0,41.0,utep,arizona
401531849,2023,4,2023-09-21T23:30:00.000Z,Georgia State,Coastal Carolina,62.5,62.5,47.0,georgia state,coastal carolina
401520313,2023,7,2023-10-10T23:00:00.000Z,Louisiana Tech,Middle Tennessee,54.5,54.5,54.0,louisiana tech,middle tennessee
401520312,2023,7,2023-10-10T23:30:00.000Z,Liberty,Jacksonville State,56.0,56.0,44.0,liberty,jacksonville state
401531888,2023,7,2023-10-10T23:30:00.000Z,Coastal Carolina,App State,63.0,63.0,51.0,coastal carolina,appalachian state
401520314,2023,7,2023-10-11T23:30:00.000Z,UTEP,Florida International,44.0,44.0,41.0,utep,florida international
401532437,2023,11,2023-11-08T00:00:00.000Z,Ball State,Northern Illinois,,43.5,37.0,ball state,northern illinois
401532438,2023,11,2023-11-08T00:00:00.000Z,Central Michigan,Western Michigan,,57.5,66.0,central michigan,western michigan
401532439,2023,11,2023-11-08T00:30:00.000Z,Ohio,Buffalo,,45.5,30.0,ohio,buffalo
401532441,2023,11,2023-11-09T00:00:00.000Z,Akron,Miami (OH),,37.5,19.0,akron,miami ohio
401532442,2023,11,2023-11-09T00:00:00.000Z,Bowling Green,Kent State,,41.5,68.0,bowling green,kent state
401532440,2023,11,2023-11-09T00:30:00.000Z,Eastern Michigan,Toledo,,45.5,72.0,eastern michigan,toledo
401525546,2023,11,2023-11-10T00:30:00.000Z,Virginia,Louisville,,49.5,55.0,virginia,louisville
401531911,2023,11,2023-11-10T00:30:00.000Z,Southern Miss,Louisiana,,51.5,65.0,southern miss,louisiana
401531437,2023,11,2023-11-11T02:00:00.000Z,North Texas,SMU,,67.5,66.0,north texas,smu
401532618,2023,11,2023-11-11T03:45:00.000Z,Wyoming,UNLV,,48.5,48.0,wyoming,unlv
401520383,2023,11,2023-11-11T17:00:00.000Z,Indiana,Illinois,,43.5,93.0,indiana,illinois
401520386,2023,11,2023-11-11T17:00:00.000Z,Alabama,Kentucky,,45.5,70.0,alabama,kentucky
401520392,2023,11,2023-11-11T17:00:00.000Z,Maryland,Nebraska,,41.5,23.0,maryland,nebraska
401520394,2023,11,2023-11-11T17:00:00.000Z,Michigan,Penn State,,44.5,39.0,michigan,penn state
