game_id,week,date,away_team,home_team,projection_margin_home,projection_margin_home_source,projection_margin_home_raw,market_spread_home,market_spread_home_source,market_spread_home_raw,ats_edge_home,ats_edge_side,projected_total,projected_total_source,projected_total_raw,market_total,market_total_source,market_total_raw,total_edge,total_side,has_projection_spread,has_market_spread,has_ats_edge,has_projection_total,has_market_total,has_total_edge,possible_pk_bug
g111,2,2026-09-12,Prairie View A&M,Baylor,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g112,2,2026-09-12,Memphis,Boise State,10.7,blend_spread_home,10.7,,,,,,55.5,blend_total,55.5,,,,,,True,False,False,True,False,False,False
g113,2,2026-09-12,Colgate,Central Michigan,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g114,2,2026-09-12,Western Carolina,Cincinnati,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g115,2,2026-09-12,Georgia Southern,Clemson,24.2,blend_spread_home,24.2,,,,,,50.9,blend_total,50.9,,,,,,True,False,False,True,False,False,False
g116,2,2026-09-12,Fordham,Coastal Carolina,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g117,2,2026-09-12,Weber State,Colorado,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g118,2,2026-09-12,Southern Utah,Colorado State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g119,2,2026-09-12,Maryland,Connecticut,-13.1,blend_spread_home,-13.1,,,,,,50.6,blend_total,50.6,,,,,,True,False,False,True,False,False,False
g120,2,2026-09-12,Appalachian State,East Carolina,12.0,blend_spread_home,12.0,,,,,,52.5,blend_total,52.5,,,,,,True,False,False,True,False,False,False
g121,2,2026-09-12,Campbell,Florida,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g122,2,2026-09-12,Navy,Florida Atlantic,-6.4,blend_spread_home,-6.4,,,,,,58.4,blend_total,58.4,,,,,,True,False,False,True,False,False,False
g123,2,2026-09-12,Buffalo,Florida International,0.0,blend_spread_home,0.0,,,,,,50.2,blend_total,50.2,,,,,,True,False,False,True,False,False,False
g124,2,2026-09-12,Sacramento State,Fresno State,23.1,blend_spread_home,23.1,,,,,,48.2,blend_total,48.2,,,,,,True,False,False,True,False,False,False
g125,2,2026-09-12,Western Kentucky,Georgia,32.6,blend_spread_home,32.6,,,,,,53.9,blend_total,53.9,,,,,,True,False,False,True,False,False,False
g126,2,2026-09-12,Tennessee,Georgia Tech,-8.6,blend_spread_home,-8.6,,,,,,57.0,blend_total,57.0,,,,,,True,False,False,True,False,False,False
g127,2,2026-09-12,New Mexico State,Hawaii,14.6,blend_spread_home,14.6,,,,,,52.8,blend_total,52.8,,,,,,True,False,False,True,False,False,False
g128,2,2026-09-12,Southern,Houston,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g129,2,2026-09-12,Duke,Illinois,5.1,blend_spread_home,5.1,,,,,,57.2,blend_total,57.2,,,,,,True,False,False,True,False,False,False
g130,2,2026-09-12,Howard,Indiana,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g131,2,2026-09-12,Iowa State,Iowa,15.0,blend_spread_home,15.0,,,,,,46.5,blend_total,46.5,,,,,,True,False,False,True,False,False,False
g132,2,2026-09-12,Wagner,James Madison,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g133,2,2026-09-12,Washington State,Kansas State,19.5,blend_spread_home,19.5,,,,,,50.5,blend_total,50.5,,,,,,True,False,False,True,False,False,False
g134,2,2026-09-12,Georgia State,Kennesaw State,18.3,blend_spread_home,18.3,,,,,,54.9,blend_total,54.9,,,,,,True,False,False,True,False,False,False
g135,2,2026-09-12,Wofford,Kent State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g136,2,2026-09-12,Alabama,Kentucky,-11.7,blend_spread_home,-11.7,,,,,,45.0,blend_total,45.0,,,,,,True,False,False,True,False,False,False
g137,2,2026-09-12,Louisiana Tech,LSU,32.4,blend_spread_home,32.4,,,,,,49.0,blend_total,49.0,,,,,,True,False,False,True,False,False,False
g138,2,2026-09-12,Gardner-Webb,Liberty,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g139,2,2026-09-12,Middle Tennessee,Marshall,20.9,blend_spread_home,20.9,,,,,,58.7,blend_total,58.7,,,,,,True,False,False,True,False,False,False
g140,2,2026-09-12,Sacred Heart,Massachusetts,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g141,2,2026-09-12,Holy Cross,Miami-OH,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g142,2,2026-09-12,Oklahoma,Michigan,1.8,blend_spread_home,1.8,,,,,,47.6,blend_total,47.6,,,,,,True,False,False,True,False,False,False
g143,2,2026-09-12,Eastern Michigan,Michigan State,17.4,blend_spread_home,17.4,,,,,,51.6,blend_total,51.6,,,,,,True,False,False,True,False,False,False
g144,2,2026-09-12,Mississippi State,Minnesota,3.7,blend_spread_home,3.7,,,,,,50.8,blend_total,50.8,,,,,,True,False,False,True,False,False,False
g145,2,2026-09-12,Lindenwood,Missouri State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g146,2,2026-09-12,Richmond,NC State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g147,2,2026-09-12,Bowling Green,Nebraska,22.5,blend_spread_home,22.5,,,,,,46.9,blend_total,46.9,,,,,,True,False,False,True,False,False,False
g148,2,2026-09-12,Montana State,Nevada,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g149,2,2026-09-12,Mercyhurst,New Mexico,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g150,2,2026-09-12,ETSU,North Carolina,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g151,2,2026-09-12,UNLV,North Texas,-11.7,blend_spread_home,-11.7,,,,,,59.2,blend_total,59.2,,,,,,True,False,False,True,False,False,False
