market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-10,2026-05-11,2026,,TCU,BetMGM,Under Odds,+115,+120,5.0,-1.06,TCU BetMGM under +115 → +120
Win Total,2026-05-10,2026-05-11,2026,American,Temple,Caesars,Over Odds,-185,-200,-15.0,1.75,Temple Caesars over -185 → -200
Win Total,2026-05-10,2026-05-11,2026,American,Temple,Caesars,Under Odds,+140,+150,10.0,-1.67,Temple Caesars under +140 → +150
Win Total,2026-05-10,2026-05-11,2026,,Texas,FanDuel,Over Odds,+110,+108,-2.0,0.46,Texas FanDuel over +110 → +108
Win Total,2026-05-10,2026-05-11,2026,,Texas,FanDuel,Under Odds,-134,-132,2.0,-0.37,Texas FanDuel under -134 → -132
Win Total,2026-05-10,2026-05-11,2026,,Texas A&M,FanDuel,Over Odds,-118,-120,-2.0,0.42,Texas A&M FanDuel over -118 → -120
Win Total,2026-05-10,2026-05-11,2026,,Texas A&M,FanDuel,Under Odds,-104,-102,2.0,-0.49,Texas A&M FanDuel under -104 → -102
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Troy,Caesars,Over Odds,-150,-170,-20.0,2.96,Troy Caesars over -150 → -170
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Troy,Caesars,Under Odds,+115,+130,15.0,-3.03,Troy Caesars under +115 → +130
Win Total,2026-05-10,2026-05-11,2026,,UNC,BetMGM,Over Odds,-115,-135,-20.0,3.96,UNC BetMGM over -115 → -135
Win Total,2026-05-10,2026-05-11,2026,,UNC,BetMGM,Under Odds,-115,+105,220.0,-4.71,UNC BetMGM under -115 → +105
Win Total,2026-05-10,2026-05-11,2026,Mountain West,UNLV,Caesars,Over Odds,-150,-170,-20.0,2.96,UNLV Caesars over -150 → -170
Win Total,2026-05-10,2026-05-11,2026,Mountain West,UNLV,Caesars,Under Odds,+115,+130,15.0,-3.03,UNLV Caesars under +115 → +130
Win Total,2026-05-10,2026-05-11,2026,Mountain West,UTEP,Caesars,Over Odds,+110,+125,15.0,-3.17,UTEP Caesars over +110 → +125
Win Total,2026-05-10,2026-05-11,2026,Mountain West,UTEP,Caesars,Under Odds,-140,-160,-20.0,3.21,UTEP Caesars under -140 → -160
Win Total,2026-05-10,2026-05-11,2026,,Wake Forest,FanDuel,Over Odds,-120,-118,2.0,-0.42,Wake Forest FanDuel over -120 → -118
Win Total,2026-05-10,2026-05-11,2026,,Wake Forest,FanDuel,Under Odds,-102,-104,-2.0,0.49,Wake Forest FanDuel under -102 → -104
Win Total,2026-05-10,2026-05-11,2026,,West Virginia,BetMGM,Over Odds,-165,-175,-10.0,1.37,West Virginia BetMGM over -165 → -175
Win Total,2026-05-10,2026-05-11,2026,,West Virginia,BetMGM,Under Odds,+130,+135,5.0,-0.93,West Virginia BetMGM under +130 → +135
