snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-13,Preseason,2026,g110,401866413,2026-09-12,2,Stony Brook,Ball State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g111,401856784,2026-09-12,2,Prairie View A&M,Baylor,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g112,401860881,2026-09-12,2,Memphis,Boise State,,,,,10.133,-10.133,55.5,,,,,,
2026-07-13,Preseason,2026,g113,401866415,2026-09-12,2,Colgate,Central Michigan,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g114,401856786,2026-09-12,2,Western Carolina,Cincinnati,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g115,401858219,2026-09-12,2,Georgia Southern,Clemson,,,,,24.867,-24.867,50.9,,,,,,
2026-07-13,Preseason,2026,g116,401868008,2026-09-12,2,Fordham,Coastal Carolina,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g117,401856785,2026-09-12,2,Weber State,Colorado,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g118,401860882,2026-09-12,2,Southern Utah,Colorado State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g119,401858444,2026-09-12,2,Maryland,Connecticut,,,,,-11.767,11.767,50.6,,,,,,
2026-07-13,Preseason,2026,g120,401864571,2026-09-12,2,Appalachian State,East Carolina,,,,,10.733,-10.733,52.5,,,,,,
2026-07-13,Preseason,2026,g121,401856672,2026-09-12,2,Campbell,Florida,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g122,401862703,2026-09-12,2,Navy,Florida Atlantic,,,,,-7.667,7.667,58.4,,,,,,
2026-07-13,Preseason,2026,g123,401866414,2026-09-12,2,Buffalo,Florida International,,,,,1.1,-1.1,50.2,,,,,,
2026-07-13,Preseason,2026,g124,401860883,2026-09-12,2,Sacramento State,Fresno State,,,,,19.2,-19.2,48.2,,,,,,
2026-07-13,Preseason,2026,g125,401856673,2026-09-12,2,Western Kentucky,Georgia,,,,,34.233,-34.233,53.9,,,,,,
2026-07-13,Preseason,2026,g126,401856681,2026-09-12,2,Tennessee,Georgia Tech,,,,,-9.233,9.233,57.0,,,,,,
2026-07-13,Preseason,2026,g127,401864578,2026-09-12,2,New Mexico State,Hawaii,,,,,14.733,-14.733,52.8,,,,,,
2026-07-13,Preseason,2026,g128,401856787,2026-09-12,2,Southern,Houston,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g129,401858217,2026-09-12,2,Duke,Illinois,,,,,6.067,-6.067,57.2,,,,,,
2026-07-13,Preseason,2026,g130,401858439,2026-09-12,2,Howard,Indiana,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g131,401856788,2026-09-12,2,Iowa State,Iowa,-12.5,41.5,,,15.067,-15.067,46.5,fanduel,fanduel,"coolbet,draftkings,fanduel,hardrockbet,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g132,401867929,2026-09-12,2,Wagner,James Madison,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g133,401856781,2026-09-12,2,Washington State,Kansas State,,,,,16.033,-16.033,50.5,,,,,,
2026-07-13,Preseason,2026,g134,,2026-09-12,2,Georgia State,Kennesaw State,,,,,11.567,-11.567,54.9,,,,,,
2026-07-13,Preseason,2026,g135,401866416,2026-09-12,2,Wofford,Kent State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g136,401856674,2026-09-12,2,Alabama,Kentucky,,,,,-11.233,11.233,45.0,,,,,,
2026-07-13,Preseason,2026,g137,401867796,2026-09-12,2,Louisiana Tech,LSU,,,,,33.5,-33.5,49.0,,,,,,
