market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,1.5,0.0318421953485711,0.03184219534857114,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,2.0,0.0705677832474367,0.07056778324743676,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,2.5,0.1154738647639778,0.11547386476397783,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,3.0,0.1385283772917772,0.13852837729177722,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,3.5,0.1491784701057577,0.1491784701057578,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,4.0,0.1863393689070701,0.18633936890707017,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,4.5,0.1769392912910032,0.17693929129100322,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,5.0,0.1648197967535494,0.16481979675354955,1.3877787807814457e-16
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,6.0,0.2350762739341977,0.23507627393419775,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,7.0,0.2164838267322739,0.21648382673227393,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,8.0,0.085262563523433,0.08526256352343312,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,9.0,0.1375494071146245,0.13754940711462454,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,10.0,,,
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,0.5,-0.0368470497067252,-0.03684704970672523,-2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,1.0,-0.0291414823892001,-0.029141482389200078,2.0816681711721685e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,1.5,-0.0189023062697468,-0.018902306269746816,-1.734723475976807e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,2.0,-0.0231604707439057,-0.023160470743905738,-3.8163916471489756e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,2.5,0.001140894260204,0.00114089426020408,8.001412032943023e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,3.0,0.0241627967319856,0.024162796731985698,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,3.5,0.0462315392760432,0.04623153927604328,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,4.0,0.0211368981050227,0.02113689810502275,4.85722573273506e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,4.5,0.0046564531587512,0.004656453158751332,1.3183898417423734e-16
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,5.0,-0.0109382252791937,-0.010938225279193704,-3.469446951953614e-18
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,6.0,0.0548997287239546,0.054899728723954655,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,7.0,-0.0887359311357166,-0.08873593113571662,-2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,8.0,0.0625804999206533,0.0625804999206534,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,9.0,0.3438701962998638,0.3438701962998639,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_9PM_ET,10.0,0.4496434937611407,0.4496434937611409,1.6653345369377348e-16
