"Name","School","Conference","Overall","Routes","Hands","Explosive","Pass Block","Running"
"Jaylan Brown","UTEP","MWC","10.68","10.62","11.90","9.35","1.66","1.66"
"Matt Coleman","SacSt","MAC","10.68","10.71","11.86","8.22","5.42","0.50"
"Ayden Williams","MissSt","SEC","10.68","10.58","11.05","10.22","0.99","0.99"
"Dre Pollard","Stan","ACC","10.67","10.67","10.67","10.67","10.67","10.67"
"TreyShun Hurry","Lou","ACC","10.67","10.65","11.60","9.78","5.35","1.90"
"Kendrick Bell","Mich","Big10","10.66","10.63","10.35","6.55","1.62","1.62"
"Gabe Daniels","Tul","Amer","10.65","11.02","12.19","7.42","3.91","3.91"
"Marlion Jackson","VT","ACC","10.65","10.98","9.35","11.27","0.45","10.98"
"Dillon Alfred","Miss","SEC","10.64","10.67","10.57","9.78","9.14","9.14"
"Lavon Brown","ColSt","Pac12","10.63","10.88","10.76","9.85","10.79","1.08"
"Xavier McDonald","JMU","SBC","10.63","10.63","10.63","10.63","10.63","10.63"
"Kendall Harris","ODU","SBC","10.63","10.63","11.22","11.35","10.18","10.27"
"Joshua Porter","USF","Amer","10.62","10.69","12.23","8.35","1.02","7.51"
"Daylon Singleton","SMU","ACC","10.62","10.62","10.65","10.44","10.27","10.27"
"Tobi Olawole","Army","Amer","10.61","10.44","12.54","6.56","8.17","5.58"
"Dozie Ezukanma","TCU","Big12","10.59","10.71","12.34","7.54","4.00","4.00"
"Kayden McGee","UNLV","MWC","10.59","9.46","6.06","7.70","5.40","10.45"
"Krosse Johnson","CoCar","SBC","10.58","10.53","10.63","8.26","6.37","6.37"
"Grant Page","SMiss","SBC","10.58","10.29","11.03","7.94","1.31","9.67"
"Noble Johnson","GASo","SBC","10.58","10.54","11.62","9.07","7.29","7.29"
"Elijah Burress","ND","Inde","10.58","10.53","9.34","8.61","6.29","6.29"
"Tyler Johnson","ECU","Amer","10.58","10.49","6.96","6.91","2.41","2.41"
"Bryce Cain","Aub","SEC","10.57","10.56","10.47","8.55","4.99","4.99"
"Maguire Anderson","FIU","CUSA","10.57","10.61","10.62","10.44","0.42","0.42"
"Davis Dalton","SMiss","SBC","10.56","10.45","14.39","8.68","8.79","0.95"
"Misun Kelley","Clem","ACC","10.56","10.55","8.23","8.39","5.59","5.59"
"Keith Jones Jr.","PSU","Big10","10.56","10.58","8.78","5.86","9.67","0.64"
"Royal Capell","UTEP","MWC","10.55","10.20","14.22","7.82","11.57","11.42"
"Bredell Richardson","Tul","Amer","10.55","10.55","10.55","10.55","10.55","10.55"
"London Smith","Bay","Big12","10.55","10.55","10.55","10.55","10.55","10.55"
"Tae'Shaun Gelsey","FSU","ACC","10.55","10.55","10.55","10.55","10.55","10.55"
"Tony Kinsler","Pitt","ACC","10.55","10.37","11.39","7.91","5.07","5.07"
"Carnell Warren","UNC","ACC","10.54","10.54","10.54","10.54","10.54","10.54"
"De'Zie Jones","OSU","Big10","10.54","10.54","10.54","10.54","10.54","10.54"
"Tyler J. Williams","UGA","SEC","10.54","10.53","10.66","10.06","9.56","9.56"
"Brendan Jenkins","SoAla","SBC","10.54","10.59","12.82","8.35","0.32","0.32"
"JP Coulter","ULM","SBC","10.52","10.44","10.16","10.25","10.93","0.88"
"Dawson Pough","BC","ACC","10.51","10.44","11.26","11.17","1.03","1.03"
"Jeff Exinor Jr.","VT","ACC","10.51","10.51","10.51","10.51","10.51","10.51"
"Luc Weaver","USC","Big10","10.50","10.50","10.50","10.50","10.50","10.50"
"Jeremiah Jones","Neb","Big10","10.50","10.50","10.58","10.16","9.82","9.82"
"Zyheem Collick","Char","Amer","10.50","10.53","9.82","14.96","0.37","10.77"
"Barry Jackson Jr.","Rice","Amer","10.49","10.79","8.64","7.69","4.35","7.25"
"Romero Ison","USC","Big10","10.49","10.49","10.49","10.49","10.49","10.49"
"Malachi Durant","OreSt","Pac12","10.49","10.20","8.50","7.22","3.20","3.20"
"Janiran Bonner","Neb","Big10","10.47","10.44","13.59","7.18","4.16","11.98"
"Sam Turner","Aub","SEC","10.47","10.31","6.88","8.83","6.88","6.88"
"Charly Mullaly","SoCar","SEC","10.47","10.53","10.38","6.41","1.30","1.30"
"Rahji Dennis","ULLaf","SBC","10.47","10.48","9.73","9.11","3.34","3.34"
"Devin Hyatt","MiaOH","MAC","10.47","10.76","8.84","7.09","2.92","2.92"
"Cam Thompson","NIU","MWC","10.47","10.66","12.02","10.00","0.66","0.66"
"Cam Abshire","Conn","Inde","10.47","10.40","12.44","7.00","2.10","2.10"
"Donnell Gee Jr.","Tuls","Amer","10.47","10.60","12.95","11.59","11.23","11.09"
"Malachi Riley","SJSt","MWC","10.46","10.35","10.58","7.38","3.58","6.17"
"Isaiah McMorris","MOSt","CUSA","10.46","10.46","11.05","9.32","6.02","6.02"
"Jeremiah Melvin","ECU","Amer","10.45","10.23","12.27","7.36","3.50","3.50"
"Johnathan Montague Jr.","BC","ACC","10.45","9.99","11.98","7.49","4.49","11.81"
"Jaceon Doss","Nev","MWC","10.45","10.41","9.27","13.65","0.37","0.37"
"Jalen Mickens","LATech","SBC","10.45","10.32","13.63","8.93","12.77","11.54"
"Carmelo Taylor","UTEP","MWC","10.44","10.44","10.44","10.44","10.44","10.44"
"Logan Saldate","ND","Inde","10.43","10.48","11.17","9.11","7.43","7.43"
"Nathan Acevedo","SDSU","Pac12","10.43","10.55","11.70","9.63","1.36","11.29"
"Jakob Dixon","Lou","ACC","10.42","10.27","11.59","6.70","2.20","2.20"
"Amare' Gough","Cuse","ACC","10.40","10.40","10.40","10.40","10.40","10.40"
"Samson Gash","MichSt","Big10","10.40","10.40","10.40","10.40","10.40","10.40"
"Jahlil McClain","Fres","Pac12","10.39","10.53","14.90","10.03","1.36","1.36"
"Ian Duarte","Tenn","SEC","10.39","10.17","8.51","10.86","7.22","7.76"
"Jordan Onovughe","Stan","ACC","10.38","10.32","11.77","7.44","4.16","4.16"
"Adam Hopkins IV","Char","Amer","10.38","10.36","11.26","7.61","8.01","4.72"
"Christian Ward","Col","Big12","10.37","10.37","10.37","10.37","10.37","10.37"
"Bryson Williams","MichSt","Big10","10.37","10.20","10.22","8.66","7.39","10.24"
"Joakim Dodson","Tenn","SEC","10.36","10.54","8.45","9.74","5.94","5.94"
"Quincy Burroughs","WKU","CUSA","10.36","10.12","9.96","6.55","1.60","1.60"
"Kory Pettigrew","Aub","SEC","10.36","10.38","10.75","7.70","10.20","5.39"
"Ayo Shotomide-King","SDSU","Pac12","10.36","10.24","10.76","6.61","4.51","2.41"
"Mekhi Fox","EMich","MAC","10.36","10.32","10.95","9.00","7.41","7.41"
"Brayden Munroe","KennSt","CUSA","10.36","10.46","9.91","12.14","1.11","0.24"
"Kris Hughes","Lou","ACC","10.36","10.34","7.14","8.32","1.37","1.37"
"Isaiah Robinson","UVA","ACC","10.36","10.77","11.45","8.12","5.80","5.80"
"Derek Meadows","Bama","SEC","10.36","10.98","6.13","9.03","6.13","6.13"
"Wydeek Collier","Rut","Big10","10.35","10.35","10.35","10.35","10.35","10.35"
"Devin Fitzgerald","ND","Inde","10.35","10.35","10.35","10.35","10.35","10.35"
"Corey Simms","USC","Big10","10.35","10.68","11.52","9.14","7.19","7.19"
"Grayson Tempest","Tuls","Amer","10.35","10.44","11.29","9.56","0.32","4.77"
"Phillip Wright III","LSU","SEC","10.35","10.35","10.39","10.17","10.00","10.00"
"Josiah Abdullah","UVA","ACC","10.35","10.33","8.83","8.73","6.78","6.78"
"Brennan Ridley","BG","MAC","10.35","10.70","12.03","9.01","0.53","0.53"
"Brandon Phelps","Zona","Big12","10.35","10.27","10.06","7.17","3.46","3.46"
"Samari Reed","Miss","SEC","10.35","10.35","10.35","10.35","10.35","10.35"
"Cam Sparks","VT","ACC","10.34","10.34","10.34","10.34","10.34","10.34"
"Miles Burris","Akr","MAC","10.34","10.20","13.25","9.01","9.24","1.01"
"Nalin Scott","Neb","Big10","10.34","10.34","10.34","10.34","10.34","10.34"
"Gracen Harris","MissSt","SEC","10.33","10.31","10.57","9.61","8.83","8.83"
"Channing Goodwin","Mich","Big10","10.33","10.23","6.40","10.73","11.97","1.79"
"Jermane Hayes","Mem","Amer","10.33","10.29","10.85","7.96","5.86","5.86"
"Cj Nelson","Ball","MAC","10.33","10.38","11.45","12.00","0.75","10.57"
"Dequane Prevo","Ark","SEC","10.33","10.33","10.33","10.33","10.33","10.33"
"Tashi Braceful","Tol","MAC","10.32","10.33","10.26","8.69","7.31","7.31"
"TyLyric Coleman","UVA","ACC","10.32","10.24","9.84","7.24","4.05","4.05"
"Refeno Vangates","Lib","CUSA","10.32","10.36","10.61","5.84","0.73","9.13"
"Michael Dever","TT","Big12","10.31","10.43","10.56","9.96","9.46","9.46"
"Darren Morris","Boise","Pac12","10.31","10.38","11.03","12.40","0.26","0.26"
"Jonah Burton","Duke","ACC","10.31","10.13","10.55","9.68","7.72","10.70"
"Terrious Favors","Boise","Pac12","10.30","10.30","10.30","10.30","10.30","10.30"
"Trez Davis","Wash","Big10","10.30","10.30","10.30","10.30","10.30","10.30"
"Owen Dupree","GaSt","SBC","10.30","10.34","7.89","10.14","9.06","0.66"
"Brock Boyd","OSU","Big10","10.29","10.29","10.29","10.29","10.29","10.29"
"Jaiven Plummer","GATech","ACC","10.29","10.73","12.28","7.14","3.36","3.36"
"Jackson Holman","Wyo","MWC","10.29","10.07","14.47","9.56","11.12","1.70"
"Shamar Porter","Conn","Inde","10.28","10.64","10.58","10.54","10.46","1.13"
"Eddie Kasper","Illini","Big10","10.27","10.08","13.21","8.51","4.21","1.98"
"Brayden Robinson","ND","Inde","10.27","10.27","10.27","10.27","10.27","10.27"
"Jesse Watson","Purd","Big10","10.26","10.40","4.63","9.16","1.68","1.68"
"Nasir Williams","CMich","MAC","10.25","10.14","8.07","6.80","3.91","3.91"
"Quanell Farrakhan Jr.","Col","Big12","10.25","10.17","6.73","7.42","3.32","11.47"
"Jaden Alexis","USF","Amer","10.25","10.23","10.21","9.73","2.14","8.28"
"Nathan Leacock","UNC","ACC","10.24","10.72","10.99","7.89","3.55","11.80"
"Jaron Pula","BYU","Big12","10.24","10.24","10.24","10.24","10.24","10.24"
"Ronnel Johnson","JackSt","CUSA","10.24","10.35","10.58","10.89","6.12","9.14"
"James Madison II","UTSA","Amer","10.24","10.24","10.24","10.24","10.24","10.24"
"Mike Brown","A&M","SEC","10.24","10.24","10.24","10.24","10.24","10.24"
"Lyrick Samuel","PSU","Big10","10.23","10.23","10.23","10.23","10.23","10.23"
"Isaiah Mizell","Zona","Big12","10.23","10.51","13.66","7.17","2.83","2.83"
"Izaiah Hartrup","Miss","SEC","10.23","10.37","10.73","8.93","7.93","8.17"
"Jeffrey Roberts","IASt","Big12","10.23","10.23","10.23","10.23","10.23","10.23"
"Carter Shaw","Stan","ACC","10.23","10.15","11.48","7.11","3.89","10.45"
"Payton Cook","Lou","ACC","10.21","10.21","10.21","10.21","10.21","10.21"
"Sterling Lockett","KSt","Big12","10.21","10.11","11.57","8.13","2.58","2.58"
"Justin Stevenson","NoTex","Amer","10.20","9.97","9.23","9.94","1.50","12.58"
"Michael Scott","JMU","SBC","10.20","9.80","10.38","8.74","3.02","10.91"
"Terence Marshall","WMich","MAC","10.20","10.28","12.29","7.06","3.25","3.25"
"Shaun Terry II","Mizz","SEC","10.19","10.24","10.18","9.76","9.42","9.42"
"Tra'Mar Harris","Purd","Big10","10.19","10.07","10.51","9.10","8.06","8.06"
"Isaiah Simmons","Mass","MAC","10.19","10.19","10.19","10.19","10.19","10.19"
"Terrence Smith","Iowa","Big10","10.19","10.19","10.19","10.19","10.19","10.19"
"Jaime Ffrench","Mich","Big10","10.18","10.16","10.28","8.72","7.44","7.44"
"Javon Rogers","KennSt","CUSA","10.18","10.15","5.73","6.68","2.67","2.67"
"Xavier Daisy","UK","SEC","10.18","10.43","13.54","8.91","12.11","0.88"
"Micah Matthews","JMU","SBC","10.18","10.18","10.18","10.18","10.18","10.18"
"Damarion Witten","MiaOH","MAC","10.18","10.18","10.18","10.18","10.18","10.18"
"Brayden Trimble","Illini","Big10","10.18","10.18","10.18","10.18","10.18","10.18"
"Isaiah Myers","MOSt","CUSA","10.18","10.31","8.77","10.11","1.07","1.07"
"Ricky Johnson","Utah","Big12","10.18","10.09","8.90","8.35","2.91","9.65"
"Carson Brown","Haw","MWC","10.17","10.22","8.12","5.95","0.77","0.77"
"Jameson Powell","OreSt","Pac12","10.17","10.17","10.17","10.17","10.17","10.17"
"TJ Pride","NMSt","CUSA","10.17","10.37","12.78","9.14","0.34","6.83"
"Alex Sanchez","App","SBC","10.17","9.94","8.54","9.12","1.50","1.50"
"AJ Jones","MTSU","CUSA","10.15","10.00","10.40","8.91","11.28","0.84"
"Alex Ward","Col","Big12","10.15","10.15","10.15","10.15","10.15","10.15"
"Karson Gordon","UCLA","Big10","10.15","10.15","10.15","10.15","10.15","10.15"
"Jacobe Hayes","TCU","Big12","10.15","10.15","10.15","10.15","10.15","10.15"
"Jahsiear Rogers","OU","SEC","10.15","10.15","10.15","10.15","10.15","10.15"
"Juju Preston","Clem","ACC","10.15","10.15","10.32","9.53","8.89","8.89"
"Elizjah Lewis","Lou","ACC","10.14","10.14","10.07","10.12","10.07","10.07"
"Braylen Walker","Rice","Amer","10.14","10.28","10.74","8.52","0.64","2.43"
"Damien Morgan","Nev","MWC","10.14","10.29","12.52","13.03","11.85","9.61"
"Derrick Eley","Char","Amer","10.13","10.01","6.11","8.57","1.55","9.17"
"Jalil Hall","Purd","Big10","10.12","10.06","10.01","9.79","9.62","9.62"
"Kavon Conciauro","Duke","ACC","10.12","10.12","10.12","10.12","10.12","10.12"
"Demitrius Bell","Neb","Big10","10.12","10.12","10.12","10.12","10.12","10.12"
"Jerquaden Guilford","OSU","Big10","10.12","10.12","10.12","10.12","10.12","10.12"
"Myles Libman","NMSt","CUSA","10.12","9.88","10.44","6.53","12.03","2.09"
"Roderick Tezeno","USC","Big10","10.11","10.11","10.11","10.11","10.11","10.11"
"Maurice Mathis Jr.","Bama","SEC","10.11","10.11","10.11","10.11","10.11","10.11"
"Gary Givens III","Nev","MWC","10.11","10.14","13.36","10.90","0.42","0.42"
"Keelan Smith","Neb","Big10","10.10","10.45","11.92","7.71","4.55","4.55"
"Cj Smith","UAB","Amer","10.10","10.40","8.08","7.03","2.27","8.49"
"Amorion Walker","UNLV","MWC","10.09","10.21","10.95","10.23","1.19","1.19"
"Rodney Dunbar","Pitt","ACC","10.09","10.09","10.09","10.09","10.09","10.09"
"Dallas Dickerson","UGA","SEC","10.09","10.09","10.09","10.09","10.09","10.09"
"Donnie Cheers","Nev","MWC","10.09","10.03","11.29","12.01","3.03","0.25"
"Brycen Coleman","Vand","SEC","10.08","9.92","8.53","11.28","11.28","11.13"
"X'Zavier Barnett","SMU","ACC","10.07","10.07","10.07","10.07","10.07","10.07"
"Zechariah Sample","TexSt","Pac12","10.07","10.09","7.23","8.82","7.23","7.23"
"Jaylan Hornsby","Purd","Big10","10.06","10.22","5.75","6.63","1.60","1.60"
"Payton Matthews","Rice","Amer","10.05","10.00","8.44","6.53","2.18","2.18"
"Witt Edwards","MOSt","CUSA","10.05","10.21","9.36","9.78","10.93","8.86"
"Garrett Mmahat","Tul","Amer","10.04","10.00","10.98","7.26","1.89","1.89"
"Kenneth Moore III","UCLA","Big10","10.04","10.04","10.04","10.04","10.04","10.04"
"Legend Glasker","BYU","Big12","10.03","10.03","10.03","10.03","10.03","10.03"
"DeShawn Spencer","Aub","SEC","10.03","10.03","10.03","10.03","10.03","10.03"
"Cooper Hoch","SJSt","MWC","10.03","9.98","13.21","6.35","1.59","1.59"
"Da'Realyst Clark","Kent","MAC","10.03","9.95","10.73","5.98","2.30","8.75"
"Ryan Manning","Mary","Big10","10.03","10.21","10.62","7.10","3.28","3.28"
"Jarriett Buie","Iowa","Big10","10.03","9.49","7.37","6.83","2.60","2.60"
"Kohen Brown","Tex","SEC","10.02","10.02","10.02","10.02","10.02","10.02"
"Milan Parris","MiaFL","ACC","10.02","10.02","10.02","10.02","10.02","10.02"
"Carl Jenkins","MiaOH","MAC","10.02","10.08","13.51","6.87","2.25","2.25"
"Kalvin Gilbert Jr.","Tol","MAC","10.02","10.11","9.15","13.05","0.31","0.31"
"Jourdin Houston","Rut","Big10","10.01","10.01","10.01","10.01","10.01","10.01"
"Kylen Evans","TexSt","Pac12","10.01","10.00","6.94","11.51","1.07","1.07"
"Tyson Carter","FIU","CUSA","10.01","9.99","11.50","7.15","3.84","3.84"
"Quintin Simmons","MiaOH","MAC","10.00","10.00","10.00","10.00","10.00","10.00"
"La'Keyleon Graves","TexSt","Pac12","10.00","10.00","10.00","10.00","10.00","10.00"
"TJ Johnson","ODU","SBC","9.99","10.34","8.75","9.51","2.57","2.57"
"Zion Ragins","MissSt","SEC","9.99","10.00","7.57","7.03","2.26","11.59"
"Naeshaun Montgomery","Mizz","SEC","9.98","10.17","11.29","7.87","5.48","5.48"
"Cooper Perry","Cal","ACC","9.98","9.91","15.10","7.50","2.88","2.88"
"KJ Parker","Iowa","Big10","9.98","9.54","5.74","7.34","3.74","3.74"
"John Gores","NDSt","MWC","9.98","9.72","9.28","5.62","2.64","2.84"
"Dazmin James","App","SBC","9.98","9.98","9.98","9.98","9.98","9.98"
"Nate Branch","App","SBC","9.98","9.98","9.98","9.98","9.98","9.98"
"Chanz Wiggins","VT","ACC","9.98","9.98","9.98","9.98","9.98","9.98"
"Larry Miles","Neb","Big10","9.98","9.98","9.98","9.98","9.98","9.98"
"Bradley Martino","Minn","Big10","9.98","9.98","9.98","9.98","9.98","9.98"
"Keenan Arcega-Whiteside","Rice","Amer","9.97","9.78","10.29","7.86","5.68","5.68"
"Tyran Evans","MiaFL","ACC","9.96","9.96","9.96","9.96","9.96","9.96"
"Elisha Durham","Ball","MAC","9.96","9.91","11.21","7.45","4.71","4.71"
"Branden Ganashamoorthy","WashSt","Pac12","9.96","9.97","9.74","6.19","8.52","1.32"
"Tank Boston","Char","Amer","9.96","9.95","10.16","8.67","7.25","7.25"
"Dom Dorwart","Ohio","MAC","9.96","9.87","14.71","6.32","1.09","1.09"
"Blaze Kamoku","Haw","MWC","9.95","10.03","10.25","7.28","1.22","1.22"
"Kamren Flowers","Conn","Inde","9.95","9.95","9.95","9.95","9.95","9.95"
"Elias Coke","Rut","Big10","9.95","9.95","9.95","9.95","9.95","9.95"
"Ejani Shakir","Mary","Big10","9.95","9.95","9.95","9.95","9.95","9.95"
"Kyan Berry-Johnson","SHSt","CUSA","9.95","9.97","7.73","8.97","7.73","7.73"
"Brody Keefe","Duke","ACC","9.95","9.95","9.95","9.95","9.95","9.95"
"Vernon Allen III","Rut","Big10","9.94","9.90","9.83","9.05","8.40","8.40"
"Brandon Rehmann","Del","CUSA","9.94","10.20","8.68","7.94","5.00","5.00"
"Jaylen Elder","UAB","Amer","9.94","9.88","12.04","7.21","3.30","10.66"
"Kezion Dia-Johnson","Mass","MAC","9.94","9.81","5.49","6.77","2.32","2.32"
"Darius Copeland","Lib","CUSA","9.93","9.71","11.12","8.33","3.08","5.96"
"Jordan Scott","Mary","Big10","9.93","9.90","7.87","8.26","6.15","6.15"
"George Dimopoulos","NIU","MWC","9.93","10.05","11.97","7.14","1.07","4.73"
"Dillon Lorick","ECU","Amer","9.93","9.90","10.38","7.51","5.19","5.19"
"Kaleb Smith","JMU","SBC","9.93","9.93","9.93","9.93","9.93","9.93"
"Giyahni Kontosis","Cincy","Big12","9.93","9.93","9.93","9.93","9.93","9.93"
"Kahleil Jackson","Fla","SEC","9.92","10.04","11.04","7.57","9.70","1.16"
"Stonka Burnside","Mem","Amer","9.92","9.63","6.38","8.27","5.30","5.30"
"Xavier Owens","Fres","Pac12","9.92","9.92","9.92","9.92","9.92","9.92"
"Dylan Denson","Troy","SBC","9.92","9.92","9.92","9.92","9.92","9.92"
"Darryon Williams","FSU","ACC","9.92","9.92","9.92","9.92","9.92","9.92"
"Jerome Bettis Jr.","ND","Inde","9.92","9.89","9.82","9.21","8.71","8.71"
"Jay Etheridge","Kent","MAC","9.90","10.15","8.66","7.56","1.83","1.83"
"Keeyshawn Tabuteau","Wisc","Big10","9.90","9.90","9.90","9.90","9.90","9.90"
"Devaughn Slaughter","KennSt","CUSA","9.90","10.40","12.66","12.17","0.58","8.55"
"Kyle Washington","GaSt","SBC","9.90","9.97","10.00","6.68","1.88","1.88"
"Teriq Mallory","FSU","ACC","9.89","10.02","10.31","8.36","6.78","6.78"
"Isaiah Williams","Nev","MWC","9.89","9.89","9.89","9.89","9.89","9.89"
"Dane Jones","TCU","Big12","9.89","9.89","9.89","9.89","9.89","9.89"
"Jacorey Watson","Bay","Big12","9.88","9.88","10.27","9.03","8.12","8.12"
"Ja'Myron Baker","USC","Big10","9.88","9.88","9.88","9.88","9.88","9.88"
"Walker Bryson","Wake","ACC","9.88","9.88","9.88","9.88","9.88","9.88"
"Darnell Collins","GATech","ACC","9.88","9.88","9.88","9.88","9.88","9.88"
"Junior Henderson","MissSt","SEC","9.88","9.88","9.88","9.88","9.88","9.88"
"Ajon Bryant","SacSt","MAC","9.87","9.93","9.29","8.18","7.01","9.43"
"Kj Daniels","UAB","Amer","9.87","9.87","9.87","9.87","9.87","9.87"
"Frank Covey IV","NW","Big10","9.87","9.95","6.03","6.51","1.42","1.42"
"Tommy Maher","ColSt","Pac12","9.85","10.46","10.79","10.18","0.34","0.59"
"Sam Pickett III","App","SBC","9.85","9.79","12.98","6.18","0.82","10.19"
"Trevor Rogers","Cal","ACC","9.85","9.85","9.85","9.85","9.85","9.85"
"Xavier Warren","UCLA","Big10","9.84","9.84","9.84","9.84","9.84","9.84"
"Keon Hutchins","WVU","Big12","9.84","9.84","9.84","9.84","9.84","9.84"
"Semaj Fleming","App","SBC","9.84","9.85","7.56","8.84","7.56","7.56"
"Chris Lewis","NoTex","Amer","9.83","9.83","10.10","9.04","7.21","7.21"
"Shawn Miller","UNM","MWC","9.83","9.84","10.46","10.16","10.38","0.75"
"David Adolph","OSU","Big10","9.83","9.51","7.99","6.43","3.02","3.02"
"Daylen Sharper","Stan","ACC","9.83","9.83","9.83","9.83","9.83","9.83"
"Will Cianfrini","SDSU","Pac12","9.83","9.89","12.80","7.05","3.07","3.07"
"Matt Long","AirF","MWC","9.83","8.39","4.51","6.83","8.04","9.44"
"Aviyon Smith-Mack","SHSt","CUSA","9.80","9.94","11.88","9.11","0.56","6.75"
"Kamauri Austin","App","SBC","9.80","9.80","9.80","9.80","9.80","9.80"
"Devin Hamilton","WKU","CUSA","9.80","9.80","9.80","9.80","9.80","9.80"
"Kenedy Uzoma","Temp","Amer","9.80","9.80","9.80","9.80","9.80","9.80"
"Bryson Baker","Utah","Big12","9.80","9.80","9.80","9.80","9.80","9.80"
"Max Lovett","KSt","Big12","9.80","9.80","9.80","9.80","9.80","9.80"
"Tron Baker","USC","Big10","9.80","9.80","9.80","9.80","9.80","9.80"
"Brandon Bennett","FSU","ACC","9.80","9.80","9.80","9.80","9.80","9.80"
"Amiri Acker","NCSt","ACC","9.80","9.80","9.80","9.80","9.80","9.80"
"Jaden McDuffie","NW","Big10","9.80","9.80","9.80","9.80","9.80","9.80"
"Madrid Tucker","UNC","ACC","9.79","10.10","13.35","7.57","2.71","2.71"
"Raiden Brown","SacSt","MAC","9.79","9.78","12.92","8.25","2.83","2.60"
"Mekhi Miller","MOSt","CUSA","9.79","9.73","8.76","8.12","0.89","0.89"
"Link Rhodes","SMU","ACC","9.78","9.67","11.46","6.41","2.90","10.05"
"Kenji Lewis","NIU","MWC","9.78","9.67","10.50","8.81","0.96","2.29"
"Dylan Cope","UVA","ACC","9.78","9.78","9.78","9.78","9.78","9.78"
"Cyrus Traugh","WVU","Big12","9.77","9.70","11.67","9.03","0.61","0.61"
"DaMarion Fowlkes","Mizz","SEC","9.77","9.77","9.77","9.77","9.77","9.77"
"Montavin Quisenberry","Lou","ACC","9.75","9.79","10.13","8.86","7.82","7.82"
"Jace Brown","UCLA","Big10","9.75","9.75","9.75","9.75","9.75","9.75"
"Donielle Hayes","Minn","Big10","9.75","9.75","9.75","9.75","9.75","9.75"
"Muizz Tounkara","Hou","Big12","9.75","9.62","12.13","7.59","4.24","4.24"
"Cynai Thomas","OreSt","Pac12","9.75","9.75","9.75","9.75","9.75","9.75"
"Dominique McKenzie","SJSt","MWC","9.74","9.54","8.98","9.32","8.98","9.75"
"Lyndon Ravare","NMSt","CUSA","9.73","10.08","11.57","9.42","11.39","0.75"
"Aldrich Doe","SDSU","Pac12","9.73","9.77","9.17","10.43","5.13","6.01"
"Drey Garner","SacSt","MAC","9.72","9.72","9.72","9.72","9.72","9.72"
"Jonah Smith","UCLA","Big10","9.72","9.72","9.72","9.72","9.72","9.72"
"Derrick Salley Jr.","KSt","Big12","9.72","9.72","9.72","9.72","9.72","9.72"
"Javon Campbell","ULM","SBC","9.72","9.87","6.60","5.70","2.12","2.12"
"Jackson Wade","BC","ACC","9.70","9.71","9.74","8.01","6.39","6.39"
"Jade Card","FAU","Amer","9.70","9.71","10.39","8.55","7.06","7.06"
"Kendall Evans","Navy","Amer","9.69","9.83","9.84","8.56","9.74","7.52"
"Tre' Griffiths","Haw","MWC","9.69","9.69","9.69","9.69","9.69","9.69"
"Preston Bowman","Ohio","MAC","9.69","9.69","9.69","9.69","9.69","9.69"
"Cooper Reid","TCU","Big12","9.68","9.68","9.68","9.68","9.68","9.68"
"Justin DeVaughn","Mary","Big10","9.68","9.68","9.68","9.68","9.68","9.68"
"Jaden Jefferson","UNC","ACC","9.68","9.68","9.68","9.68","9.68","9.68"
"Jaydon Johnson","ULLaf","SBC","9.68","9.44","8.91","8.42","3.70","1.31"
"Ayson Theus","TCU","Big12","9.66","9.66","9.66","9.66","9.66","9.66"
"Jace Wilson","SacSt","MAC","9.66","9.69","11.68","6.51","1.42","1.49"
"Taylor Bradshaw","GASo","SBC","9.66","9.72","8.64","8.60","11.71","9.94"
"Jackson Harper","ColSt","Pac12","9.65","9.47","11.51","7.07","2.74","2.74"
"Dedrick Latulas","LATech","SBC","9.65","10.09","12.27","9.23","9.11","4.08"
"Terrence McWilliams Jr.","Lou","ACC","9.65","9.54","7.80","8.20","6.02","6.02"
"Cooper Rusk","Tol","MAC","9.65","9.70","11.15","5.75","1.75","7.71"
"DeAngelo Irvin Jr.","UNLV","MWC","9.65","9.66","10.17","8.95","10.56","10.46"
"Bj Bedgood","ODU","SBC","9.65","9.65","9.65","9.65","9.65","9.65"
"DaMari Carter","UVA","ACC","9.65","9.65","9.65","9.65","9.65","9.65"
"Deji Ajose","Wash","Big10","9.65","9.65","9.65","9.65","9.65","9.65"
"Josh Jackson","LSU","SEC","9.64","9.96","12.00","6.50","10.08","1.31"
"Navelle Dean","KennSt","CUSA","9.64","9.49","7.61","8.07","1.57","8.14"
"Amarion Jackson","PSU","Big10","9.64","9.64","9.64","9.64","9.64","9.64"
"Jaylen Pile","Mich","Big10","9.63","9.63","9.63","9.63","9.63","9.63"
"Patrick Clacks III","Buff","MAC","9.61","9.78","10.17","8.60","1.38","1.38"
"Dylan Faison","ND","Inde","9.60","9.60","9.60","9.60","9.60","9.60"
"Tayshon Bardo","Ball","MAC","9.60","9.60","9.60","9.60","9.60","9.60"
"Trey Horne","SMiss","SBC","9.60","9.60","9.60","9.60","9.60","9.60"
"Dveyoun Bonwell-Witte","FAU","Amer","9.60","9.60","9.60","9.60","9.60","9.60"
"Meyer Swinney","Cal","ACC","9.60","9.60","9.60","9.60","9.60","9.60"
"Jamal Polite Jr.","IASt","Big12","9.60","9.60","9.60","9.60","9.60","9.60"
"Kenyon Alston","Illini","Big10","9.60","9.60","9.60","9.60","9.60","9.60"
