"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Antonio Harris","Purd","Big10","11.82","11.96","11.71","5.37","7.22"
"Brandon Tullis","MichSt","Big10","11.81","12.63","11.59","6.38","10.66"
"Bryan Jackson II","Wisc","Big10","11.80","12.17","9.70","10.86","8.89"
"Anthony Carrie","FIU","CUSA","11.80","12.17","11.26","7.34","7.41"
"Robert Briggs","SMiss","SBC","11.76","12.02","11.51","7.76","10.23"
"Jasper Parker","Ark","SEC","11.75","11.79","10.86","9.36","10.05"
"Daniel Bray","Utah","Big12","11.73","12.44","10.52","11.65","14.52"
"Cameron Pettaway","IASt","Big12","11.72","12.33","10.18","5.63","10.28"
"Terrance Shelton, Jr.","Buff","MAC","11.72","11.97","10.80","11.84","7.95"
"Davion Godley","SacSt","MAC","11.71","12.01","9.59","7.07","12.97"
"Tylik Hill","Cuse","ACC","11.70","11.86","10.03","7.53","12.06"
"Victor Rosa","Ohio","MAC","11.70","12.26","10.17","9.77","8.76"
"Chance Williams","Char","Amer","11.70","12.28","8.63","8.91","10.19"
"Mike Drennen II","Tol","MAC","11.70","11.65","11.04","7.96","10.57"
"Chris Davis Jr.","Stan","ACC","11.68","12.10","10.51","9.32","9.71"
"Jaylin Lucas","Tul","Amer","11.65","11.77","11.66","10.96","8.83"
"Xay Davis","UVA","ACC","11.65","11.44","9.97","5.37","8.04"
"Sedrick Irvin","Stan","ACC","11.64","12.10","10.28","10.84","8.18"
"Deshonne Redeaux","USC","Big10","11.63","11.63","11.63","11.63","11.63"
"Manny Covey","Mem","Amer","11.63","11.45","12.85","11.01","12.63"
"Cole Cabana","WMich","MAC","11.63","11.56","11.59","11.84","10.03"
"Sione Moa","BYU","Big12","11.61","11.44","11.15","9.28","11.82"
"Treyaun Webb","App","SBC","11.61","11.81","10.67","11.00","10.15"
"Messiah Mickens","VT","ACC","11.61","11.61","11.61","11.61","11.61"
