snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-06-19,2026,Georgia,,BetMGM,9.5,-190.0,145.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Georgia,Southeastern,Caesars,9.5,-180.0,140.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=f3036c5dbf6080da7160fdfba40d9201; over_updated=2026-06-19 11:49:47; under_updated=2026-06-19 11:49:47
2026-06-19,2026,Georgia,,DraftKings,6.5,-186.0,154.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Georgia,,FanDuel,9.5,-176.0,142.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439664; over_selection=96283381; under_selection=96283380
2026-06-19,2026,Georgia Tech,Atlantic Coast,Caesars,6.5,110.0,-140.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=3dc4a86e54660d4d3c43c277fbc1180d; over_updated=2026-06-19 11:49:50; under_updated=2026-06-19 11:49:50
2026-06-19,2026,Georgia Tech,,FanDuel,6.5,110.0,-134.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439700; over_selection=96283383; under_selection=96283382
2026-06-19,2026,Houston,,BetMGM,7.5,-165.0,130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Houston,Big 12,Caesars,7.5,-170.0,135.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=37be16f04f2cc833e23200b7dfdef5d2; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,Houston,,DraftKings,5.5,115.0,-136.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Houston,,FanDuel,7.5,-160.0,130.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159441986; over_selection=96283630; under_selection=96283629
