week,date,away,home,away_rank,home_rank,away_rating,home_rating,hfa,hfa_source,stored_margin_home,stored_margin_key,rating_margin_home,diff_stored_minus_rating,stored_line,rating_line,issues
2,2026-09-12,Alabama,Kentucky,11.0,53.0,18.2,3.8,2.7,home_team.hfa,-11.7,projected_margin_home,-11.7,0.0,Alabama -11.7,Alabama -11.7,
2,2026-09-12,Louisiana Tech,LSU,99.0,10.0,-8.3,20.2,3.9,home_team.hfa,32.4,projected_margin_home,32.4,0.0,LSU -32.4,LSU -32.4,
2,2026-09-12,Gardner-Webb,Liberty,,92.0,,-6.4,3.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Middle Tennessee,Marshall,135.0,92.0,-26.0,-6.4,1.3,home_team.hfa,20.9,projected_margin_home,20.900000000000002,-3.552713678800501e-15,Marshall -20.9,Marshall -20.9,
2,2026-09-12,Sacred Heart,Massachusetts,,137.0,,-30.9,1.6,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Holy Cross,Miami-OH,,81.0,,-2.9,2.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Oklahoma,Michigan,12.0,14.0,17.2,16.1,2.9,home_team.hfa,1.8,projected_margin_home,1.800000000000002,-1.9984014443252818e-15,Michigan -1.8,Michigan -1.8,
2,2026-09-12,Eastern Michigan,Michigan State,121.0,67.0,-15.0,0.4,2.0,home_team.hfa,17.4,projected_margin_home,17.4,0.0,Michigan State -17.4,Michigan State -17.4,
2,2026-09-12,Mississippi State,Minnesota,52.0,45.0,3.9,5.2,2.4,home_team.hfa,3.7,projected_margin_home,3.7,0.0,Minnesota -3.7,Minnesota -3.7,
2,2026-09-12,Lindenwood,Missouri State,,126.0,,-18.7,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Richmond,NC State,,48.0,,4.9,3.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Bowling Green,Nebraska,115.0,37.0,-13.3,7.7,1.5,home_team.hfa,22.5,projected_margin_home,22.5,0.0,Nebraska -22.5,Nebraska -22.5,
2,2026-09-12,Montana State,Nevada,,112.0,,-12.2,2.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Mercyhurst,New Mexico,,68.0,,-0.5,0.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,ETSU,North Carolina,,53.0,,3.8,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,UNLV,North Texas,59.0,109.0,2.8,-11.8,2.9,home_team.hfa,-11.7,projected_margin_home,-11.700000000000001,1.7763568394002505e-15,UNLV -11.7,UNLV -11.7,
2,2026-09-12,Illinois State,Northern Illinois,,125.0,,-18.2,1.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Rice,Notre Dame,120.0,3.0,-14.7,25.8,3.2,home_team.hfa,43.7,projected_margin_home,43.7,0.0,Notre Dame -43.7,Notre Dame -43.7,
2,2026-09-12,Jacksonville State,Ohio,97.0,117.0,-7.7,-13.6,2.9,home_team.hfa,-3.0,projected_margin_home,-2.9999999999999996,-4.440892098500626e-16,Jacksonville State -3.0,Jacksonville State -3.0,
2,2026-09-12,Oregon,Oklahoma State,2.0,38.0,28.3,7.1,2.8,home_team.hfa,-18.4,projected_margin_home,-18.400000000000002,3.552713678800501e-15,Oregon -18.4,Oregon -18.4,
2,2026-09-12,Charlotte,Ole Miss,138.0,16.0,-32.4,15.9,2.4,home_team.hfa,50.7,projected_margin_home,50.699999999999996,7.105427357601002e-15,Ole Miss -50.7,Ole Miss -50.7,
2,2026-09-12,Texas Tech,Oregon State,7.0,91.0,23.1,-6.3,3.5,home_team.hfa,-25.9,projected_margin_home,-25.900000000000002,3.552713678800501e-15,Texas Tech -25.9,Texas Tech -25.9,
2,2026-09-12,Central Florida,Pittsburgh,60.0,41.0,2.3,6.5,1.9,home_team.hfa,6.1,projected_margin_home,6.1,0.0,Pittsburgh -6.1,Pittsburgh -6.1,
2,2026-09-12,Wake Forest,Purdue,58.0,81.0,3.6,-2.9,1.3,home_team.hfa,-5.2,projected_margin_home,-5.2,0.0,Wake Forest -5.2,Wake Forest -5.2,
2,2026-09-12,UC Davis,SMU,,28.0,,10.9,3.4,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Tulsa,Sam Houston,96.0,136.0,-7.6,-26.3,2.5,home_team.hfa,-16.2,projected_margin_home,-16.200000000000003,3.552713678800501e-15,Tulsa -16.2,Tulsa -16.2,
2,2026-09-12,Cal Poly,San Jose State,,122.0,,-15.5,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Towson,South Carolina,,24.0,,12.1,2.3,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
