type,quality,team,win_total,side_1,book_1,odds_1,side_2,book_2,odds_2,implied_sum_pct,edge_pct,middle_score,notes,total_1,total_2,middle_gap_calc
Middle,Strong middle,Wake Forest,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,FanDuel,104,,,75.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,BYU,6.5 / 8.5,Over 6.5,DraftKings,100,Under 8.5,BetMGM,100,,,75.0,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,BYU,6.5 / 8.5,Over 6.5,DraftKings,100,Under 8.5,FanDuel,100,,,75.0,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,Central Florida,3.5 / 5.5,Over 3.5,DraftKings,-115,Under 5.5,Caesars,120,,,75.0,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Missouri,4.5 / 6.5,Over 4.5,DraftKings,120,Under 6.5,Caesars,-105,,,75.0,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,SMU,6.5 / 8.5,Over 6.5,DraftKings,-115,Under 8.5,BetMGM,120,,,75.0,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,Wake Forest,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,BetMGM,100,,,75.0,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Rutgers,2.5 / 4.5,Over 2.5,DraftKings,-130,Under 4.5,FanDuel,118,,,74.8,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,North Carolina,2.5 / 4.5,Over 2.5,DraftKings,-110,Under 4.5,FanDuel,116,,,74.5,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,California,4.5 / 6.5,Over 4.5,DraftKings,115,Under 6.5,Caesars,-120,,,74.4,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Kansas,3.5 / 5.5,Over 3.5,DraftKings,-110,Under 5.5,Caesars,115,,,74.4,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,North Carolina,2.5 / 4.5,Over 2.5,DraftKings,-110,Under 4.5,Caesars,115,,,74.4,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Oklahoma,5.5 / 7.5,Over 5.5,DraftKings,115,Under 7.5,FanDuel,-106,,,74.4,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,SMU,6.5 / 8.5,Over 6.5,DraftKings,-115,Under 8.5,FanDuel,112,,,74.0,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,North Carolina,2.5 / 4.5,Over 2.5,DraftKings,-110,Under 4.5,BetMGM,105,,,73.1,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,SMU,6.5 / 8.5,Over 6.5,DraftKings,-115,Under 8.5,Caesars,105,,,73.1,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,BYU,6.5 / 8.5,Over 6.5,DraftKings,100,Under 8.5,Caesars,-105,,,72.5,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,Wake Forest,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,Caesars,-105,,,72.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,UCLA,3.5 / 5.5,Over 3.5,DraftKings,-150,Under 5.5,Caesars,155,,,72.4,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Mississippi St,2.5 / 4.5,Over 2.5,DraftKings,-105,Under 4.5,BetMGM,-115,,,70.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,NC State,4.5 / 7.5,Over 4.5,DraftKings,-180,Under 7.5,Caesars,-150,,,70.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,NC State,4.5 / 7.5,Over 4.5,DraftKings,-180,Under 7.5,FanDuel,-132,,,70.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Syracuse,2.5 / 4.5,Over 2.5,DraftKings,-120,Under 4.5,BetMGM,-110,,,70.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Syracuse,2.5 / 4.5,Over 2.5,DraftKings,-120,Under 4.5,Caesars,-115,,,70.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Syracuse,2.5 / 4.5,Over 2.5,DraftKings,-120,Under 4.5,FanDuel,-122,,,70.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Georgia Tech,4.5 / 6.5,Over 4.5,DraftKings,134,Under 6.5,BetMGM,-135,,,69.8,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Georgia Tech,4.5 / 6.5,Over 4.5,DraftKings,134,Under 6.5,Caesars,-140,,,69.8,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Georgia Tech,4.5 / 6.5,Over 4.5,DraftKings,134,Under 6.5,FanDuel,-134,,,69.8,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Arizona State,4.5 / 6.5,Over 4.5,DraftKings,-136,Under 6.5,Caesars,115,,,67.4,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,California,4.5 / 6.5,Over 4.5,DraftKings,115,Under 6.5,BetMGM,-145,,,67.4,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,California,4.5 / 6.5,Over 4.5,DraftKings,115,Under 6.5,FanDuel,-138,,,67.4,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Iowa State,3.5 / 5.5,Over 3.5,DraftKings,105,Under 5.5,BetMGM,-150,,,66.1,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Iowa State,3.5 / 5.5,Over 3.5,DraftKings,105,Under 5.5,Caesars,-140,,,66.1,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Iowa State,3.5 / 5.5,Over 3.5,DraftKings,105,Under 5.5,FanDuel,-144,,,66.1,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Arizona State,4.5 / 6.5,Over 4.5,DraftKings,-136,Under 6.5,BetMGM,100,,,65.5,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Cincinnati,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,BetMGM,-150,,,65.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Cincinnati,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,Caesars,-140,,,65.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Cincinnati,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,FanDuel,-148,,,65.5,Middle gap of 2 wins.,3.5,5.5,2.0
