season,week,date,game_id,case,team,opponent,team_side,role,spread,ats_margin,ats_result,team_overall,team_overall_rank,team_offense,team_offense_rank,team_defense,team_defense_rank,opponent_overall,opponent_overall_rank,opponent_offense,opponent_offense_rank,opponent_defense,opponent_defense_rank
2024,1,2024-08-31T19:30:00.000Z,401628454,High Offense RP vs Low Defense RP,Nebraska,UTEP,home,Favorite,-27.5,5.5,W,77.0,3.0,76.0,23.0,78.0,9.0,45.0,112.0,42.0,116.0,48.0,107.0
2024,1,2024-08-31T19:30:00.000Z,401634304,High Offense RP vs Low Defense RP,Syracuse,Ohio,home,Favorite,-17.333333333333332,-1.3333333333333321,L,74.0,10.0,81.0,9.0,67.0,34.0,27.0,133.0,22.0,133.0,33.0,128.0
2024,2,2024-09-07T16:00:00.000Z,401643784,High Offense RP vs Low Defense RP,Memphis,Troy,home,Favorite,-18.666666666666668,2.333333333333332,W,69.0,26.0,74.0,29.0,65.0,45.0,36.0,129.0,42.0,114.0,29.0,130.0
2024,2,2024-09-07T16:00:00.000Z,401628470,High Offense RP vs Low Defense RP,Penn State,Bowling Green,home,Favorite,-34.833333333333336,-27.833333333333336,L,70.0,23.0,74.0,28.0,66.0,37.0,48.0,103.0,52.0,95.0,45.0,112.0
2024,2,2024-09-07T16:00:00.000Z,401628347,High Offense RP vs Low Defense RP,Texas,Michigan,away,Favorite,-6.666666666666667,12.333333333333332,W,70.0,25.0,74.0,30.0,66.0,38.0,36.0,128.0,24.0,132.0,47.0,109.0
2024,2,2024-09-07T16:00:00.000Z,401635534,High Offense RP vs Low Defense RP,Syracuse,Georgia Tech,home,Underdog,2.8333333333333335,5.833333333333334,W,74.0,10.0,81.0,9.0,67.0,34.0,66.0,46.0,83.0,7.0,49.0,105.0
2024,2,2024-09-07T23:00:00.000Z,401628335,High Offense RP vs Low Defense RP,South Florida,Alabama,away,Underdog,31.666666666666668,5.666666666666668,W,72.0,17.0,87.0,4.0,58.0,67.0,44.0,115.0,56.0,83.0,33.0,126.0
2024,2,2024-09-07T23:00:00.000Z,401628344,High Offense RP vs Low Defense RP,Missouri,Buffalo,home,Favorite,-33.666666666666664,4.333333333333336,W,68.0,31.0,79.0,16.0,58.0,68.0,29.0,132.0,31.0,128.0,28.0,131.0
2024,2,2024-09-07T23:00:00.000Z,401643780,High Offense RP vs Low Defense RP,UAB,UL Monroe,away,Favorite,-11.5,-37.5,L,66.0,42.0,81.0,10.0,52.0,93.0,40.0,125.0,39.0,120.0,41.0,117.0
2024,3,2024-09-14T20:00:00.000Z,401628477,High Offense RP vs Low Defense RP,Iowa,Troy,home,Favorite,-23.333333333333332,-6.333333333333332,L,69.0,30.0,80.0,12.0,58.0,65.0,36.0,129.0,42.0,114.0,29.0,130.0
2024,3,2024-09-14T20:15:00.000Z,401628351,High Offense RP vs Low Defense RP,UAB,Arkansas,away,Underdog,23.666666666666668,13.666666666666668,W,66.0,42.0,81.0,10.0,52.0,93.0,46.0,109.0,50.0,99.0,41.0,115.0
2024,3,2024-09-14T23:00:00.000Z,401628361,High Offense RP vs Low Defense RP,Texas,UTSA,home,Favorite,-35.5,13.5,W,70.0,25.0,74.0,30.0,66.0,38.0,45.0,111.0,51.0,98.0,39.0,118.0
2024,3,2024-09-15T02:30:00.000Z,401635541,High Offense RP vs Low Defense RP,California,San Diego State,home,Favorite,-18.666666666666668,2.333333333333332,W,73.0,14.0,79.0,17.0,66.0,36.0,46.0,108.0,49.0,102.0,43.0,114.0
2024,4,2024-09-21T18:00:00.000Z,401635558,High Offense RP vs Low Defense RP,Virginia,Coastal Carolina,away,Favorite,-3.5,15.5,W,76.0,5.0,85.0,5.0,68.0,30.0,45.0,114.0,44.0,112.0,46.0,111.0
2024,4,2024-09-21T19:30:00.000Z,401628363,High Offense RP vs Low Defense RP,Auburn,Arkansas,home,Favorite,-2.5,-12.5,L,65.0,50.0,74.0,27.0,55.0,78.0,46.0,109.0,50.0,99.0,41.0,115.0
2024,4,2024-09-21T23:30:00.000Z,401628372,High Offense RP vs Low Defense RP,Texas A&M,Bowling Green,home,Favorite,-21.166666666666668,-15.166666666666668,L,72.0,18.0,77.0,22.0,67.0,35.0,48.0,103.0,52.0,95.0,45.0,112.0
2024,4,2024-09-22T00:00:00.000Z,401628371,High Offense RP vs Low Defense RP,Texas,UL Monroe,home,Favorite,-43.0,5.0,W,70.0,25.0,74.0,30.0,66.0,38.0,40.0,125.0,39.0,120.0,41.0,117.0
2025,1,2025-08-28T23:00:00.000Z,401762789,High Offense RP vs Low Defense RP,Wyoming,Akron,away,Favorite,-6.0,4.0,W,64.0,28.0,79.0,3.0,48.0,92.0,49.0,91.0,60.0,58.0,38.0,116.0
2025,1,2025-08-30T19:30:00.000Z,401752807,High Offense RP vs Low Defense RP,Penn State,Nevada,home,Favorite,-44.166666666666664,-9.166666666666664,L,63.0,33.0,72.0,14.0,53.0,73.0,29.0,132.0,33.0,122.0,26.0,132.0
2025,1,2025-08-31T03:00:00.000Z,401752800,High Offense RP vs Low Defense RP,Utah,UCLA,away,Favorite,-6.5,26.5,W,61.0,41.0,72.0,16.0,51.0,81.0,43.0,111.0,53.0,78.0,33.0,124.0
