season,team,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move
2021,Indiana,Cincinnati,Big Ten,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Cincinnati,Indiana,American,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Temple,Boston College,American,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Boston College,Temple,ACC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Liberty,Old Dominion,Independent,Conference USA,Independent,G6,Other,False,False,,,,
2021,Old Dominion,Liberty,Conference USA,Independent,G6,Independent,Other,False,False,,,,
2021,Marshall,East Carolina,Conference USA,American,G6,G6,G6_vs_G6,False,False,,,,
2021,East Carolina,Marshall,American,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,UTSA,Middle Tennessee,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Middle Tennessee,UTSA,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Pittsburgh,Western Michigan,ACC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Western Michigan,Pittsburgh,MAC,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Michigan,Northern Illinois,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Northern Illinois,Michigan,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Army,UConn,Independent,Independent,Independent,Independent,Other,False,False,,,,
2021,UConn,Army,Independent,Independent,Independent,Independent,Other,False,False,,,,
2021,Georgia State,Charlotte,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Charlotte,Georgia State,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Texas Tech,Florida International,Big 12,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Florida International,Texas Tech,Conference USA,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Texas A&M,New Mexico,SEC,Mountain West,P4,G6,P4_vs_G6,False,False,,,,
2021,New Mexico,Texas A&M,Mountain West,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Buffalo,Coastal Carolina,MAC,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Coastal Carolina,Buffalo,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Southern Miss,Troy,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Troy,Southern Miss,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Georgia,South Carolina,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,South Carolina,Georgia,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Miami,Michigan State,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Michigan State,Miami,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,North Texas,UAB,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,UAB,North Texas,Conference USA,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Penn State,Auburn,Big Ten,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Auburn,Penn State,SEC,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Air Force,Utah State,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Utah State,Air Force,Mountain West,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,North Carolina,Virginia,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Virginia,North Carolina,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Kansas State,Nevada,Big 12,Mountain West,P4,G6,P4_vs_G6,False,False,,,,
2021,Nevada,Kansas State,Mountain West,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,LSU,Central Michigan,SEC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Central Michigan,LSU,MAC,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Ole Miss,Tulane,SEC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Tulane,Ole Miss,American,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Notre Dame,Purdue,Independent,Big Ten,Independent,P4,Other,False,False,,,,
2021,Purdue,Notre Dame,Big Ten,Independent,P4,Independent,Other,False,False,,,,
2021,Clemson,Georgia Tech,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Georgia Tech,Clemson,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Kansas,Baylor,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Baylor,Kansas,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Texas,Rice,Big 12,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Rice,Texas,Conference USA,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Massachusetts,Eastern Michigan,Independent,MAC,Independent,G6,Other,False,False,,,,
2021,Eastern Michigan,Massachusetts,MAC,Independent,G6,Independent,Other,False,False,,,,
2021,Florida,Alabama,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Alabama,Florida,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Wake Forest,Florida State,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Florida State,Wake Forest,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
