game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp,offense_rp,defense_rp,opponent_overall_rp,opponent_offense_rp,opponent_defense_rp,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_spread_field,full_game_model_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g126,2,2026-09-12,Tennessee,Georgia Tech,Tennessee,Georgia Tech,away,62.0,58.0,65.0,49.0,37.0,61.0,13.0,-3.0,28.0,projection_spread_home,8.24,4.12,Underdog,False,False
g126,2,2026-09-12,Tennessee,Georgia Tech,Georgia Tech,Tennessee,home,49.0,37.0,61.0,62.0,58.0,65.0,-13.0,-28.0,3.0,projection_spread_home,-8.24,-4.12,Favorite,False,False
g127,2,2026-09-12,New Mexico State,Hawaii,New Mexico State,Hawaii,away,51.0,46.0,55.0,45.0,54.0,37.0,6.0,9.0,1.0,projection_spread_home,-15.4825,-7.74125,Favorite,False,False
g127,2,2026-09-12,New Mexico State,Hawaii,Hawaii,New Mexico State,home,45.0,54.0,37.0,51.0,46.0,55.0,-6.0,-1.0,-9.0,projection_spread_home,15.4825,7.74125,Underdog,False,False
g129,2,2026-09-12,Duke,Illinois,Duke,Illinois,away,49.0,48.0,51.0,50.0,52.0,47.0,-1.0,1.0,-1.0,projection_spread_home,-6.1625,-3.08125,Favorite,False,False
g129,2,2026-09-12,Duke,Illinois,Illinois,Duke,home,50.0,52.0,47.0,49.0,48.0,51.0,1.0,1.0,-1.0,projection_spread_home,6.1625,3.08125,Underdog,False,True
g131,2,2026-09-12,Iowa State,Iowa,Iowa State,Iowa,away,45.0,44.0,46.0,44.0,48.0,40.0,1.0,4.0,-2.0,projection_spread_home,-13.9825,-6.99125,Favorite,False,False
g131,2,2026-09-12,Iowa State,Iowa,Iowa,Iowa State,home,44.0,48.0,40.0,45.0,44.0,46.0,-1.0,2.0,-4.0,projection_spread_home,13.9825,6.99125,Underdog,False,True
g133,2,2026-09-12,Washington State,Kansas State,Washington State,Kansas State,away,42.0,48.0,36.0,58.0,65.0,51.0,-16.0,-3.0,-29.0,projection_spread_home,-14.8375,-7.41875,Favorite,False,False
g133,2,2026-09-12,Washington State,Kansas State,Kansas State,Washington State,home,58.0,65.0,51.0,42.0,48.0,36.0,16.0,29.0,3.0,projection_spread_home,14.8375,7.41875,Underdog,False,False
g134,2,2026-09-12,Georgia State,Kennesaw State,Georgia State,Kennesaw State,away,38.0,48.0,27.0,49.0,42.0,55.0,-11.0,-7.0,-15.0,projection_spread_home,-11.5625,-5.78125,Favorite,False,False
g134,2,2026-09-12,Georgia State,Kennesaw State,Kennesaw State,Georgia State,home,49.0,42.0,55.0,38.0,48.0,27.0,11.0,15.0,7.0,projection_spread_home,11.5625,5.78125,Underdog,False,False
g136,2,2026-09-12,Alabama,Kentucky,Alabama,Kentucky,away,48.0,35.0,61.0,46.0,40.0,52.0,2.0,-17.0,21.0,projection_spread_home,10.8675,5.43375,Underdog,False,False
g136,2,2026-09-12,Alabama,Kentucky,Kentucky,Alabama,home,46.0,40.0,52.0,48.0,35.0,61.0,-2.0,-21.0,17.0,projection_spread_home,-10.8675,-5.43375,Favorite,False,False
g137,2,2026-09-12,Louisiana Tech,LSU,Louisiana Tech,LSU,away,56.0,64.0,48.0,61.0,61.0,60.0,-5.0,4.0,-13.0,projection_spread_home,-31.17,-15.585,Favorite,False,False
g137,2,2026-09-12,Louisiana Tech,LSU,LSU,Louisiana Tech,home,61.0,61.0,60.0,56.0,64.0,48.0,5.0,13.0,-4.0,projection_spread_home,31.17,15.585,Underdog,False,True
g139,2,2026-09-12,Middle Tennessee,Marshall,Middle Tennessee,Marshall,away,36.0,34.0,37.0,48.0,61.0,36.0,-12.0,-2.0,-24.0,projection_spread_home,-13.3325,-6.66625,Favorite,False,False
g139,2,2026-09-12,Middle Tennessee,Marshall,Marshall,Middle Tennessee,home,48.0,61.0,36.0,36.0,34.0,37.0,12.0,24.0,2.0,projection_spread_home,13.3325,6.66625,Underdog,False,False
g142,2,2026-09-12,Oklahoma,Michigan,Oklahoma,Michigan,away,65.0,75.0,55.0,63.0,72.0,55.0,2.0,20.0,-17.0,projection_spread_home,-0.81,-0.405,Favorite,False,False
g142,2,2026-09-12,Oklahoma,Michigan,Michigan,Oklahoma,home,63.0,72.0,55.0,65.0,75.0,55.0,-2.0,17.0,-20.0,projection_spread_home,0.81,0.405,Underdog,False,True
g143,2,2026-09-12,Eastern Michigan,Michigan State,Eastern Michigan,Michigan State,away,62.0,59.0,64.0,46.0,48.0,45.0,16.0,14.0,16.0,projection_spread_home,-17.85,-8.925,Favorite,False,False
g143,2,2026-09-12,Eastern Michigan,Michigan State,Michigan State,Eastern Michigan,home,46.0,48.0,45.0,62.0,59.0,64.0,-16.0,-16.0,-14.0,projection_spread_home,17.85,8.925,Underdog,False,False
g144,2,2026-09-12,Mississippi State,Minnesota,Mississippi State,Minnesota,away,48.0,44.0,52.0,68.0,71.0,65.0,-20.0,-21.0,-19.0,projection_spread_home,-0.5025,-0.25125,Favorite,False,False
g144,2,2026-09-12,Mississippi State,Minnesota,Minnesota,Mississippi State,home,68.0,71.0,65.0,48.0,44.0,52.0,20.0,19.0,21.0,projection_spread_home,0.5025,0.25125,Underdog,False,False
