season,week,date,game_id,component,edge_team,edge_opponent,conference_matchup_type,component_edge,component_edge_band,edge_team_role,edge_team_spread,edge_team_ats_result,edge_team_ats_margin,edge_team_clv,source_flipped
2023,3,2023-09-17T00:00:00.000Z,401520238,offense_vs_opponent_defense,New Mexico,New Mexico State,G6_vs_G6,27.0,25_plus,Favorite,-2.75,L,-12.75,,False
2023,3,2023-09-17T00:00:00.000Z,401520238,offense_vs_opponent_defense,New Mexico State,New Mexico,G6_vs_G6,28.0,25_plus,Underdog,2.75,W,12.75,,False
2023,3,2023-09-16T19:30:00.000Z,401520239,defense_vs_opponent_offense,North Carolina,Minnesota,P4_vs_P4,9.0,5_to_14_9,Favorite,-6.666666666666667,W,11.333333333333332,,False
2023,3,2023-09-16T19:30:00.000Z,401520239,offense_vs_opponent_defense,North Carolina,Minnesota,P4_vs_P4,12.0,5_to_14_9,Favorite,-6.666666666666667,W,11.333333333333332,,False
2023,3,2023-09-16T20:00:00.000Z,401520240,defense_vs_opponent_offense,Ohio State,Western Kentucky,P4_vs_G6,9.0,5_to_14_9,Favorite,-29.5,W,23.5,,False
2023,3,2023-09-16T20:00:00.000Z,401520240,offense_vs_opponent_defense,Ohio State,Western Kentucky,P4_vs_G6,16.0,15_to_24_9,Favorite,-29.5,W,23.5,,False
2023,3,2023-09-16T23:30:00.000Z,401520241,defense_vs_opponent_offense,Georgia Tech,Ole Miss,P4_vs_P4,7.0,5_to_14_9,Underdog,17.0,L,-8.0,,True
2023,3,2023-09-16T23:30:00.000Z,401520241,offense_vs_opponent_defense,Ole Miss,Georgia Tech,P4_vs_P4,14.0,5_to_14_9,Favorite,-17.0,W,8.0,,False
2023,3,2023-09-16T23:30:00.000Z,401520242,offense_vs_opponent_defense,Syracuse,Purdue,P4_vs_P4,14.0,5_to_14_9,Favorite,-1.0,W,14.0,,False
2023,3,2023-09-16T19:30:00.000Z,401520244,defense_vs_opponent_offense,South Florida,Alabama,G6_vs_P4,24.0,15_to_24_9,Underdog,34.25,W,20.25,,False
2023,3,2023-09-16T19:30:00.000Z,401520244,offense_vs_opponent_defense,South Florida,Alabama,G6_vs_P4,8.0,5_to_14_9,Underdog,34.25,W,20.25,,False
2023,3,2023-09-16T20:00:00.000Z,401520245,defense_vs_opponent_offense,Texas A&M,UL Monroe,P4_vs_G6,38.0,25_plus,Favorite,-36.5,W,7.5,,False
2023,3,2023-09-16T20:00:00.000Z,401520245,offense_vs_opponent_defense,Texas A&M,UL Monroe,P4_vs_G6,16.0,15_to_24_9,Favorite,-36.5,W,7.5,,False
2023,3,2023-09-16T23:00:00.000Z,401520247,defense_vs_opponent_offense,Vanderbilt,UNLV,P4_vs_G6,7.0,5_to_14_9,Favorite,-4.5,L,-7.5,,True
2023,3,2023-09-16T23:00:00.000Z,401520247,offense_vs_opponent_defense,UNLV,Vanderbilt,G6_vs_P4,15.0,15_to_24_9,Underdog,4.5,W,7.5,,False
2023,4,2023-09-23T19:30:00.000Z,401520250,defense_vs_opponent_offense,Ole Miss,Alabama,P4_vs_P4,19.0,15_to_24_9,Underdog,7.0,L,-7.0,,False
2023,4,2023-09-23T19:30:00.000Z,401520250,offense_vs_opponent_defense,Ole Miss,Alabama,P4_vs_P4,42.0,25_plus,Underdog,7.0,L,-7.0,,False
2023,4,2023-09-23T23:30:00.000Z,401520252,defense_vs_opponent_offense,Georgia,UAB,P4_vs_G6,34.0,25_plus,Favorite,-40.833333333333336,L,-12.833333333333336,,False
2023,4,2023-09-23T23:30:00.000Z,401520252,offense_vs_opponent_defense,Georgia,UAB,P4_vs_G6,10.0,5_to_14_9,Favorite,-40.833333333333336,L,-12.833333333333336,,False
2023,4,2023-09-24T03:59:00.000Z,401520253,defense_vs_opponent_offense,New Mexico State,Hawai'i,G6_vs_G6,6.0,5_to_14_9,Underdog,3.6666666666666665,W,0.6666666666666665,,False
2023,4,2023-09-24T03:59:00.000Z,401520253,offense_vs_opponent_defense,New Mexico State,Hawai'i,G6_vs_G6,28.0,25_plus,Underdog,3.6666666666666665,W,0.6666666666666665,,False
2023,4,2023-09-23T23:00:00.000Z,401520254,offense_vs_opponent_defense,Sam Houston,Houston,G6_vs_P4,25.0,25_plus,Underdog,11.5,L,-19.5,,False
2023,4,2023-09-23T23:30:00.000Z,401520256,defense_vs_opponent_offense,Akron,Indiana,G6_vs_P4,6.0,5_to_14_9,Underdog,16.5,W,14.5,,True
2023,4,2023-09-23T23:30:00.000Z,401520256,offense_vs_opponent_defense,Indiana,Akron,P4_vs_G6,17.0,15_to_24_9,Favorite,-16.5,L,-14.5,,False
2023,4,2023-09-23T21:00:00.000Z,401520257,defense_vs_opponent_offense,Eastern Michigan,Jacksonville State,G6_vs_G6,17.0,15_to_24_9,Underdog,6.5,L,-14.5,,False
2023,4,2023-09-23T21:00:00.000Z,401520257,defense_vs_opponent_offense,Jacksonville State,Eastern Michigan,G6_vs_G6,17.0,15_to_24_9,Favorite,-6.5,W,14.5,,False
2023,4,2023-09-23T21:00:00.000Z,401520257,offense_vs_opponent_defense,Eastern Michigan,Jacksonville State,G6_vs_G6,17.0,15_to_24_9,Underdog,6.5,L,-14.5,,True
2023,4,2023-09-23T21:00:00.000Z,401520257,offense_vs_opponent_defense,Jacksonville State,Eastern Michigan,G6_vs_G6,17.0,15_to_24_9,Favorite,-6.5,W,14.5,,True
2023,4,2023-09-23T23:00:00.000Z,401520258,offense_vs_opponent_defense,LSU,Arkansas,P4_vs_P4,30.0,25_plus,Favorite,-17.666666666666668,L,-14.666666666666668,,False
