season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_margin,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2023,4,2023-09-23T19:30:00.000Z,401532405,offense,Bowling Green,Ohio,Ohio,Bowling Green,away,Favorite,189.0,10.1,0.9618320610687023,0.22900763358778625,-13.0,31.0,18.0,W,13.0,44.833333333333336
2023,4,2023-09-23T19:30:00.000Z,401524015,offense,Oregon,Colorado,Oregon,Colorado,home,Favorite,147.6,0.0,0.9007633587786259,0.11450381679389313,-21.0,36.0,15.0,W,-21.0,70.0
2023,4,2023-09-23T21:00:00.000Z,401531876,offense,South Alabama,Central Michigan,South Alabama,Central Michigan,home,Favorite,163.5,-4.6,0.9389312977099237,0.04580152671755725,-16.166666666666668,-4.0,-20.166666666666668,L,-16.166666666666668,47.166666666666664
2023,4,2023-09-23T23:30:00.000Z,401520256,offense,Indiana,Akron,Akron,Indiana,away,Underdog,118.0,-15.1,0.8244274809160306,0.022900763358778626,16.5,-2.0,14.5,W,-16.5,45.833333333333336
2023,4,2023-09-24T02:30:00.000Z,401524018,offense,Washington,California,Washington,California,home,Favorite,256.9,0.0,1.0,0.11450381679389313,-20.5,27.0,6.5,W,-20.5,56.0
2024,1,2024-08-24T16:00:00.000Z,401635525,offense,Georgia Tech,Florida State,Georgia Tech,Florida State,home,Underdog,151.5,-7.4,0.924812030075188,0.022556390977443608,10.666666666666666,3.0,13.666666666666666,W,10.666666666666666,54.833333333333336
2024,1,2024-08-31T19:30:00.000Z,401644683,offense,Northwestern,Miami (OH),Miami (OH),Northwestern,away,Underdog,87.9,4.8,0.7819548872180451,0.23308270676691728,3.5,-7.0,-3.5,L,-3.5,41.0
2024,1,2024-09-02T23:30:00.000Z,401634306,offense,Florida State,Boston College,Boston College,Florida State,away,Underdog,84.0,-7.4,0.7744360902255639,0.022556390977443608,16.5,15.0,31.5,W,-16.5,51.0
2024,2,2024-09-06T23:00:00.000Z,401634765,offense,SMU,BYU,SMU,BYU,home,Favorite,219.1,-12.7,0.9924812030075187,0.015037593984962405,-12.333333333333334,-3.0,-15.333333333333334,L,-12.333333333333334,55.833333333333336
2024,2,2024-09-07T16:00:00.000Z,401628336,offense,Oklahoma State,Arkansas,Oklahoma State,Arkansas,home,Favorite,146.6,2.6,0.9097744360902256,0.19548872180451127,-9.333333333333334,8.0,-1.333333333333334,L,-9.333333333333334,61.5
2024,2,2024-09-07T19:30:00.000Z,401628464,offense,Iowa,Iowa State,Iowa State,Iowa,away,Underdog,158.9,1.7,0.9398496240601504,0.17293233082706766,2.8333333333333335,1.0,3.8333333333333335,W,-2.8333333333333335,35.833333333333336
2024,2,2024-09-07T23:00:00.000Z,401643780,offense,UL Monroe,UAB,UAB,UL Monroe,away,Favorite,148.2,-7.0,0.9172932330827067,0.03007518796992481,-11.5,-26.0,-37.5,L,11.5,54.833333333333336
