rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
G6_vs_P4__EITHER_COMPONENT__25_PLUS,G6_vs_P4: either RP component 25+,either_component,8,4,4,0,0.75,1.5,14.875,2,0.5,0.0,-1.4166666666666667,7.25,6.0,2.0,0.3333333333333333,1.0,1,1,2.0,0.6666666666666667,8.666666666666666,7.75,No actionable signal
G6_vs_P4__OFFENSE_VS_DEFENSE__10_TO_14_9,G6_vs_P4: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,6,4,2,0,3.1666666666666665,4.0,13.5,2,0.6666666666666666,16.666666666666657,1.1666666666666667,5.166666666666667,3.0,3.0,0.6666666666666666,0.6666666666666666,2,2,3.0,0.0,4.0,73.83,Small-sample lead
G6_vs_P4__OFFENSE_VS_DEFENSE__15_TO_24_9,G6_vs_P4: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2,0,2,0,-8.25,-8.25,4.25,2,0.0,-50.0,-5.5,-11.0,1.0,1.0,0.0,0.0,0,0,1.0,0.0,5.5,-54.0,No actionable signal
G6_vs_P4__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_P4: Off RP vs opp Def RP edge 25+,offense_vs_defense,5,3,2,0,4.1,10.5,17.7,2,0.6,10.0,2.5,10.5,4.0,1.0,0.5,1.0,1,2,1.0,0.5,8.0,50.83,Small-sample lead
G6_vs_P4__OFF_POS_DEF_NEG,"G6_vs_P4: offense edge positive, defense edge negative",mixed_components,6,5,1,0,4.333333333333333,7.5,14.0,2,0.8333333333333334,33.33333333333334,1.5,10.0,4.0,2.0,0.75,1.0,2,2,2.0,0.25,8.5,69.67,Small-sample lead
G6_vs_P4__OVERALL__10_TO_14_9,G6_vs_P4: overall RP edge 10-14.9,overall_edge,8,3,5,0,-1.875,-3.25,6.875,2,0.375,-12.5,-2.625,-1.125,4.0,4.0,0.25,0.5,0,0,4.0,0.25,1.5,-42.88,No actionable signal
G6_vs_P4__OVERALL__15_TO_24_9,G6_vs_P4: overall RP edge 15-24.9,overall_edge,5,2,3,0,0.4,-1.5,16.0,2,0.4,-10.0,-0.16666666666666666,1.25,3.0,2.0,0.3333333333333333,0.5,0,1,2.0,0.16666666666666669,1.4166666666666667,-19.39,No actionable signal
G6_vs_P4__OVERALL__25_PLUS,G6_vs_P4: overall RP edge 25+,overall_edge,1,1,0,0,10.5,10.5,18.5,1,1.0,50.0,10.5,,1.0,,1.0,,1,1,1.0,,,55.5,Small-sample lead
G6_vs_P4__OVERALL__5_TO_9_9,G6_vs_P4: overall RP edge 5-9.9,overall_edge,2,1,1,0,-3.5,-3.5,17.0,1,0.5,0.0,-3.5,,2.0,,0.5,,0,0,2.0,,,-26.5,No actionable signal
P4_vs_G6__BOTH_COMPONENTS__10_PLUS,P4_vs_G6: both RP components 10+,both_components,25,9,16,0,-3.22,-3.0,-12.94,2,0.36,-14.0,-2.642857142857143,-3.9545454545454546,14.0,11.0,0.42857142857142855,0.2727272727272727,0,0,11.0,0.15584415584415584,1.3116883116883118,-41.46,No actionable signal
