season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2023,4,2023-09-23T21:00:00.000Z,401531876,passing,South Alabama,Central Michigan,South Alabama,Central Michigan,home,Favorite,0.985,-0.073,0.8854961832061069,0.030534351145038167,-16.166666666666668,-20.166666666666668,L,-16.166666666666668,47.166666666666664
2023,4,2023-09-23T23:00:00.000Z,401520262,passing,Middle Tennessee,Colorado State,Colorado State,Middle Tennessee,away,Underdog,1.0,0.029,0.9236641221374046,0.15267175572519084,3.5,11.5,W,-3.5,50.5
2023,4,2023-09-23T23:30:00.000Z,401520256,passing,Indiana,Akron,Akron,Indiana,away,Underdog,0.952,-0.362,0.7938931297709924,0.015267175572519083,16.5,14.5,W,-16.5,45.833333333333336
2023,4,2023-09-24T02:30:00.000Z,401524018,passing,Washington,California,Washington,California,home,Favorite,1.004,0.0,0.9694656488549618,0.10687022900763359,-20.5,6.5,W,-20.5,56.0
2024,1,2024-08-24T16:00:00.000Z,401635525,passing,Georgia Tech,Florida State,Georgia Tech,Florida State,home,Underdog,1.0,-0.047,0.9398496240601504,0.05263157894736842,10.666666666666666,13.666666666666666,W,10.666666666666666,54.833333333333336
2024,1,2024-09-01T00:00:00.000Z,401634302,passing,Georgia Tech,Georgia State,Georgia Tech,Georgia State,home,Favorite,1.0,0.057,0.9398496240601504,0.23684210526315788,-20.5,2.5,W,-20.5,56.25
2024,1,2024-09-02T23:30:00.000Z,401634306,passing,Florida State,Boston College,Boston College,Florida State,away,Underdog,1.024,-0.047,0.9699248120300752,0.05263157894736842,16.5,31.5,W,-16.5,51.0
2024,2,2024-09-06T23:00:00.000Z,401634765,passing,SMU,BYU,SMU,BYU,home,Favorite,0.989,-0.407,0.9172932330827067,0.022556390977443608,-12.333333333333334,-15.333333333333334,L,-12.333333333333334,55.833333333333336
2024,2,2024-09-07T16:00:00.000Z,401628336,passing,Oklahoma State,Arkansas,Oklahoma State,Arkansas,home,Favorite,0.972,0.027,0.9022556390977443,0.20300751879699247,-9.333333333333334,-1.333333333333334,L,-9.333333333333334,61.5
2024,2,2024-09-07T16:00:00.000Z,401645323,passing,Florida Atlantic,Army,Army,Florida Atlantic,away,Underdog,1.035,0.037,0.9849624060150376,0.21052631578947367,2.0,19.0,W,-2.0,42.166666666666664
2024,2,2024-09-07T19:30:00.000Z,401628464,passing,Iowa,Iowa State,Iowa State,Iowa,away,Underdog,0.945,-0.145,0.8458646616541353,0.03007518796992481,2.8333333333333335,3.8333333333333335,W,-2.8333333333333335,35.833333333333336
2024,2,2024-09-07T23:00:00.000Z,401643780,passing,UL Monroe,UAB,UAB,UL Monroe,away,Favorite,0.934,-0.417,0.8270676691729323,0.015037593984962405,-11.5,-37.5,L,11.5,54.833333333333336
2024,2,2024-09-08T02:15:00.000Z,401640989,passing,New Mexico State,Liberty,Liberty,New Mexico State,away,Favorite,1.03,0.0,0.9774436090225563,0.13157894736842105,-22.166666666666668,-16.166666666666668,L,22.166666666666668,54.166666666666664
2024,2,2024-09-08T02:30:00.000Z,401628343,passing,Arizona State,Mississippi State,Arizona State,Mississippi State,home,Favorite,0.905,-0.081,0.7744360902255639,0.045112781954887216,-6.166666666666667,0.833333333333333,W,-6.166666666666667,58.333333333333336
2024,3,2024-09-12T23:30:00.000Z,401636867,passing,Texas State,Arizona State,Arizona State,Texas State,away,Underdog,0.905,0.008,0.7744360902255639,0.15789473684210525,1.1666666666666667,4.166666666666667,W,-1.1666666666666667,58.5
2024,3,2024-09-14T16:00:00.000Z,401635542,passing,Florida State,Memphis,Memphis,Florida State,away,Underdog,0.937,-0.047,0.8345864661654135,0.05263157894736842,6.833333333333333,14.833333333333332,W,-6.833333333333333,53.666666666666664
2024,3,2024-09-14T20:00:00.000Z,401643785,passing,East Carolina,App State,App State,East Carolina,away,Favorite,0.966,-0.101,0.8721804511278195,0.03759398496240601,-1.1666666666666667,0.8333333333333333,W,1.1666666666666667,58.166666666666664
2024,3,2024-09-14T20:15:00.000Z,401628351,passing,Arkansas,UAB,UAB,Arkansas,away,Underdog,0.934,0.027,0.8270676691729323,0.20300751879699247,23.666666666666668,13.666666666666668,W,-23.666666666666668,60.333333333333336
2024,3,2024-09-14T22:00:00.000Z,401640980,passing,Florida Atlantic,Florida International,Florida International,Florida Atlantic,away,Underdog,0.93,0.037,0.8195488721804511,0.21052631578947367,4.333333333333333,-13.666666666666668,L,-4.333333333333333,44.5
2024,3,2024-09-14T23:00:00.000Z,401641040,passing,Sam Houston,Hawai'i,Hawai'i,Sam Houston,away,Underdog,0.964,-0.004,0.8571428571428571,0.10526315789473684,4.0,-14.0,L,-4.0,49.166666666666664
