game_id,week,away_team,home_team,model_id,availability_status,present_components,required_components,provider_range,provider_stddev
g295,4,Central Michigan,Miami-FL,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.5,1.6582125165370087
g296,4,Connecticut,Miami-OH,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.680000000000003,3.7389938486175667
g297,4,Iowa,Michigan,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.62999999999999,3.8148615636743584
g298,4,Nebraska,Michigan State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.219999999999999,2.9594045009089243
g299,4,Missouri,Mississippi State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.8000000000000007,1.0118300252512773
g300,4,Appalachian State,NC State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.990000000000002,3.605311186291692
g301,4,Air Force,Nevada,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.600000000000001,2.3542514733987114
g302,4,New Mexico,New Mexico State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.099999999999998,1.6473311749614894
g305,4,Illinois,Ohio State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.489999999999998,3.067330883683728
g306,4,James Madison,Old Dominion,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.3199999999999985,1.2376186811776877
g307,4,Wisconsin,Penn State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.900000000000002,2.526196498691263
g309,4,Notre Dame,Purdue,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.400000000000006,1.59214281708646
g311,4,Missouri State,SMU,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.899999999999999,4.317350894935458
g312,4,Massachusetts,Sacramento State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.000000000000004,5.4572772515238785
g313,4,Georgia Tech,Stanford,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.049999999999997,0.7963785218098228
g314,4,Army,Temple,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.700000000000003,2.8402244629606312
g315,4,Texas,Tennessee,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.200000000000005,2.984438808218391
g317,4,Sam Houston,Texas Tech,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.000000000000007,4.260539871894173
g318,4,San Diego State,Toledo,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,15.800000000000008,6.352706116294066
g319,4,Southern Miss,Tulane,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.399999999999999,3.8078561881982886
g320,4,Florida Atlantic,UL-Monroe,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.510000000000005,4.319608633892661
g321,4,Oregon,USC,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.1999999999999993,1.2663629021729903
g322,4,Oregon State,UTEP,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.6999999999999975,2.3135295005683405
g323,4,Colorado State,UTSA,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.31,4.601523524877386
