flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g402,,6,2026-10-10,Old Dominion,Appalachian State,False,-2.2055,-11.6805,1.8,1.8,-7.675,-7.675000000000002,1.7763568394002505e-15,Old Dominion -7.7,Old Dominion -7.7,,50.15,
OK,,g404,401856713,6,2026-10-10,Tennessee,Arkansas,False,15.7695,5.912,2.4,2.4,-7.4575,-7.457500000000001,1.7763568394002505e-15,Tennessee -7.5,Tennessee -7.5,,62.55,
OK,,g419,401858480,6,2026-10-10,Illinois,Michigan State,False,9.0895,0.547,2.0,2.0,-6.5425,-6.542499999999999,-1.7763568394002505e-15,Illinois -6.5,Illinois -6.5,,53.4,
OK,,g422,401862799,6,2026-10-10,Tulsa,Navy,False,-9.588,1.0895,2.6,2.6,13.2775,13.277499999999998,1.7763568394002505e-15,Navy -13.3,Navy -13.3,,54.95,
OK,,g439,401866437,6,2026-10-10,Buffalo,Toledo,False,-13.403,-5.238,2.6,2.6,10.765,10.764999999999999,1.7763568394002505e-15,Toledo -10.8,Toledo -10.8,,44.2,
OK,,g445,401858258,6,2026-10-10,Syracuse,Virginia,False,-3.118,8.267,3.3,3.3,14.685,14.684999999999999,1.7763568394002505e-15,Virginia -14.7,Virginia -14.7,,47.55,
OK,,g450,,7,2026-10-13,Delaware,Middle Tennessee,False,-11.268,-20.3555,3.2,3.2,-5.8875,-5.887499999999998,-1.7763568394002505e-15,Delaware -5.9,Delaware -5.9,,55.85,
OK,,g453,,7,2026-10-15,Georgia Southern,Old Dominion,False,-10.1255,-2.2055,1.7,1.7,9.62,9.620000000000001,-1.7763568394002505e-15,Old Dominion -9.6,Old Dominion -9.6,,50.4,
OK,,g454,401862800,7,2026-10-15,East Carolina,UAB,False,-1.0655,-16.8055,3.8,3.8,-11.94,-11.939999999999998,-1.7763568394002505e-15,East Carolina -11.9,East Carolina -11.9,,54.2,
OK,,g458,401862802,7,2026-10-17,Florida Atlantic,Army,False,-9.5155,-3.168,1.8,1.8,8.1475,8.147499999999999,1.7763568394002505e-15,Army -8.1,Army -8.1,,57.1,
OK,,g459,401856809,7,2026-10-17,Notre Dame,BYU,False,27.297,14.1595,2.1,2.1,-11.0375,-11.037500000000001,1.7763568394002505e-15,Notre Dame -11,Notre Dame -11,,53.1,
OK,,g469,401866444,7,2026-10-17,Toledo,Eastern Michigan,False,-5.238,-15.303,1.5,1.5,-8.565,-8.565000000000001,1.7763568394002505e-15,Toledo -8.6,Toledo -8.6,,47.6,
OK,,g481,401858490,7,2026-10-17,Penn State,Michigan,False,15.2995,16.597,2.9,2.9,4.1975,4.197500000000002,-1.7763568394002505e-15,Michigan -4.2,Michigan -4.2,,50.6,
OK,,g483,401864520,7,2026-10-17,Nevada,North Dakota State,False,-14.253,-4.1667,2.5,2.5,12.5863,12.586300000000001,-1.7763568394002505e-15,North Dakota State -12.6,North Dakota State -12.6,,48.8,
OK,,g485,401856721,7,2026-10-17,Missouri,Ole Miss,False,14.542,18.542,2.4,2.4,6.4,6.400000000000002,-1.7763568394002505e-15,Ole Miss -6.4,Ole Miss -6.4,,51.9,
OK,,g490,401858268,7,2026-10-17,Virginia,SMU,False,8.267,12.002,3.4,3.4,7.135,7.135000000000002,-1.7763568394002505e-15,SMU -7.1,SMU -7.1,,49.4,
